4|società, civilizzazione, cultura
46A222|vita rurale
46A2221|abitante della campagna
46A22219|spopolamento della campagna, spopolamento rurale
46A23|contrasto tra gente importante e non importante; l'inferiore davanti al superiore, il debole davanti al potente
46A231|il protetto davanti al patrono
46A24|relazioni tra padrone e servo
46A241|servire due padroni
46A3|assistenza pubblica
46A31|orfanotrofio
46A311|brefotrofio
46A32|assistenza agli anziani
46A321|ospizio per anziani
46A3211|ospizio per i poveri (olandese: 'hofje')
46A33|opere di carità
46A4|relazioni tra razze
46A41|discriminazione razziale, segregazione
46A42|avversione tra razze, razzismo
46A421|disordini razziali
46A422|Ku Klux Klan e simili organizzazioni
46A49|anti-razzismo; integrazione razziale
46A5|comunicazione linguistica
46A51|tentativo di farsi capire ~ comunicazioni linguistiche
46A511|incomprensione
46A52|interprete ~ linguaggio
46A53|traduttore
46A54|comunicazione con sordi o muti
46A541|lettura delle labbra
46A542|linguaggio dei segni
46A55|linguaggio artificiale
46A551|Esperanto
46A6|società, associazioni e consigli di amministrazione
46A61|consiglio, in particolare governatori, amministratori, ecc. (olandese: 'regenten')
46A611|presidente
46A612|segretario (di una società)
46A613|tesoriere
46A614|membri di una commissione, membri di un consiglio
46A62|membro, appartenenza ad una associazione
46A621|divenire membro
46A6211|votazione a scrutinio segreto
46A6212|iniziazione (~ appartenenza ad una associazione)
46A629|sospensione, espulsione (da una associazione)
46A63|riunione, assemblea
46A631|apertura dell'assemblea
46A632|allocuzione, discorso, conferenza (~ riunioni)
46A633|dibattito, discussione (~ riunioni)
46A634|interruzione, domande (~ riunioni)
46A635|votazione (~ riunioni)
46A636|caos, procedura disordinata (~ riunioni)
46A637|chiusura dell'assemblea
46A638|sala da riunioni
46A7|folla, ressa
46A71|individuo contro massa
46A8|modi di vivere inconsueti
46A81|comunità erranti
46A81(...)|comunità erranti (col NOME)
46A81(GIPSIES)|comunità erranti: zingari
46A81(NOMADS)|comunità erranti: nomadi
46A811|vivere in tende ~ comunità erranti
46A812|vivere in carri coperti ~ comunità erranti
46A813|vivere in imbarcazioni ~ comunità erranti
46A82|comunità idealiste, 'back to nature'
46A821|comunità, gruppi
46A821(...)|comunità, gruppi (col NOME)
46A8211|spartizioni comuni di ogni cosa
46A822|naturisti
46A823|nudisti
46A83|vita solitaria
46A831|vita solitaria su un'isola deserta, 'Robinsonade'
46A84|pionierismo, vita di frontiera
46A841|Selvaggio West
46A85|avventuriero
46A9|strutture sociali primitive
46A91|matriarcato
46A92|patriarcato
46A93|clan, rapporti tribali
46AA122|stemma, araldica - AA - femminile
46AA122(...)|stemmi, araldica (col NOME della famiglia) - AA - femminile
46AA122(...)1|stemmi, araldica (col NOME della famiglia) - AA - femminile - stemma, arme, blasone (col NOME della famiglia)
46AA122(...)2|stemmi, araldica (col NOME della famiglia) - AA - femminile - cimiero (col NOME della famiglia)
46AA122(...)3|stemmi, araldica (col NOME della famiglia) - AA - femminile - emblema, motto (col NOME della famiglia)
46AA122(...)4|stemmi, araldica (col NOME della famiglia) - AA - femminile - impresa (col NOME della famiglia)
46AA122(...)5|stemmi, araldica (col NOME della famiglia) - AA - femminile - vessillo (col NOME della famiglia)
46AA122(...)6|stemmi, araldica (col NOME della famiglia) - AA - femminile - sigillo (col NOME della famiglia)
46AA126|le nove eroine
46AA1261|Ester (una delle nove eroine)
46AA1262|Giuditta (una delle nove eroine)
46AA1263|Giaele (una delle nove eroine)
46AA1264|Lucrezia (una delle nove eroine)
46AA1265|Veturia, madre di Coriolano (una delle nove eroine)
46AA1266|Virginia (una delle nove eroine)
46AA1267|Sant'Elena (una delle nove eroine)
46AA1268|Santa Brigida di Svezia (una delle nove eroine)
46AA1269|Sant'Elisabetta d'Ungheria (una delle nove eroine)
46AA127|uomini noti o famosi, eroi, 'homines illustres', 'uomini famosi' - AA - donne note o famose, eroine, 'femmes célèbres', ' les neuf preuses'
46AA14|contadini - AA - moglie del fattore
46AA17|classe operaia, lavoratori - AA - donne
46AA170|Lavoro - AA - donne
46AA171|padrone, datore di lavoro ~ salariato, impiegato - AA - donne
46AA1711|salariato cerca lavoro - AA - donne
46AA172|paga del salario - AA - donne
46AA1721|lavoratore rifiuta il pagamento - AA - donne
46AA1722|padrone rifiuta di pagare il salario - AA - donne
46AA173|lavoratori vanno al alvoro - AA - donne
46AA174|lavoratori tornano a casa - AA - donne
46AA175|lavoro minorile - AA - donne
46AA179|disoccupazione - AA - donne
46AA1791|salariati disoccupati - AA - donne
46AA24|relazioni tra padrone e servo - AA - cattivi relazioni tra padrone e servo
46AA241|servire due padroni - AA - cattivi relazioni tra padrone e servo
46AA61|consiglio, in particolare governatori, amministratori, ecc. (olandese: 'regenten') - AA - consiglio femminile (olandese: 'regentessen')
46AA611|presidente - AA - consiglio femminile (olandese: 'regentessen')
46AA612|segretario (di una società) - AA - consiglio femminile (olandese: 'regentessen')
46AA613|tesoriere - AA - consiglio femminile (olandese: 'regentessen')
46AA614|membri di una commissione, membri di un consiglio - AA - consiglio femminile (olandese: 'regentessen')
46AA63|riunione, assemblea - AA - all'aperto
46AA631|apertura dell'assemblea - AA - all'aperto
46AA632|allocuzione, discorso, conferenza (~ riunioni) - AA - all'aperto
46AA633|dibattito, discussione (~ riunioni) - AA - all'aperto
46AA634|interruzione, domande (~ riunioni) - AA - all'aperto
46AA635|votazione (~ riunioni) - AA - all'aperto
46AA636|caos, procedura disordinata (~ riunioni) - AA - all'aperto
46AA637|chiusura dell'assemblea - AA - all'aperto
46AA638|sala da riunioni - AA - all'aperto
46B|affari, commercio e finanza
46B0|allegoria del commercio; 'Commertio della vita humana' (Ripa)
46B1|luoghi per trattare commerci
46B11|mercato
46B111|bancarella, banco (~ mercati)
46B112|sala del mercato
46B12|fiera (annuale), fiera commerciale
46B13|negozio, magazzino
46B131|grande magazzino, supermercato
46B132|vetrina
46B133|bancone ~ negozio, magazzino
46B14|pesa pubblica
46B15|magazzino di vendita all'ingrosso
46B16|vendita all'asta, vendita pubblica
46B17|cambio, Borsa
46B18|esposizione commerciale, fiera industriale
46B181|esposizione universale
46B19|fiera di beneficenza
46B2|persone che si occupano di commercio e traffici
46B21|mercante, negoziante, venditore
46B21(...)|mercante, negoziante, venditore (col NOME del mestiere
46B22|venditore non stabile, errante, mercante che viaggia o gira il mondo
46B221|ambulante, banchista, piccolo commerciante che vende sulla strada
46B221(...)|ambulante, banchista, piccolo commerciante che vende sulla strada (col NOME del mestiere)
46B2211|'cris de Paris', 'cries of London', ecc.
46B222|venditore ambulante
46B23|commesso viaggiatore
46B24|negoziante
46B241|commesso
46B25|andare al mercato
46B26|ritorno dal mercato
46B27|cliente
46B271|cliente soddisfatto
46B272|cliente che reclama
46B3|mezzi e metodi ausiliari impiegati in commercio e finanza
46B31|denaro
46B310|'Pecunia' (Ripa)
46B311|moneta
46B3111|moneta commerciale, moneta privata
46B312|assegno circolare
46B313|denaro in altre forme, p.es. sbarre metalliche, conchiglie, ecc.
46B314|assegno, cambiale, effetto
46B3140|cambiale (all.); 'Cambio', 'Wissel' (Ripa)
46B32|amministrazione ~ commercio e finanza
46B321|contabilità, contabile
46B3211|registro delle vendite
46B322|ufficio (~ amministrazione)
46B33|pesare, pesatura
46B331|pesatrici
46B3311|bilancia
46B3312|peso per bilancia
46B332|pesare oro o denaro
46B34|misurazione di capacità
46B341|misura di capacità
46B35|pubblicità
46B351|annuncio
46B352|volantino
46B3521|opuscolo
46B353|affisso, cartellone
46B3531|pannello, spazio per la pubblicità
46B3532|colonna per affissione
46B3533|uomo-sandwich
46B354|insegna
46B355|marchio di fabbrica, segno, simbolo commerciale, biglietto commerciale
46B356|inserzione, avviso
46B4|transazione commerciale
46B41|acquisto e vendita
46B411|acquisto
46B412|vendita
46B413|baratto
46B414|noleggio, affitto
46B42|esame della merce
46B43|contrattazione
46B44|pagamento (~ commerci) (inserire qui anche restituzione di prestiti, ecc.)
46B45|debito e credito
46B451|addebito, debito
46B4510|'Debito' (Ripa)
46B4511|IOU ('I owe you', dichiarazione di debito), obbligazione
46B452|credito
46B4520|'Credito', 'Usura' (Ripa)
46B46|contratto di vendita
46B47|profitto e perdita
46B471|profitto (~ commerci)
46B4711|interesse (~ commerci)
46B472|perdita (~ commerci)
46B48|speculazione in commercio e finanza, speculazione in borsa
46B481|boom speculativo
46B49|importazione ed esportazione
46B491|importazione
46B492|esportazione
46B493|spedizione commerciale
46B494|compagnia di commercio
46B4941|marina mercantile, commercio marittimo
46B5|organizzazione commerciale e finanziaria
46B51|commercio di denaro
46B511|cambiavalute
46B512|prestasoldi, usuraio
46B5120|'Usura' (Ripa)
46B513|prestatore su pegno, lombard
46B52|borsa valori, mercato finanziario
46B521|relazioni del mercato finanziario
46B53|banca
46B531|banchiere
46B54|postagiro
46B55|assicurazione
46B551|agente assicurativo
46B56|organizzazione tra uomini d'affari
46B561|corporazione di mercanti
46B562|camera di commercio
46B57|sindacato, cartello finanziario, monopolio
46B6|dumping
46B61|svendita, liquidazione
46B7|spionaggio economico
46B8|boicottaggio
46B9|aspetti e risultati negativi o indesiderati del commercio e degli affari
46B91|frode, truffa
46B910|'Acquisto cattivo' (Ripa)
46B911|corruzione
46B92|bancarotta
46B921|ufficiale giudiziario
46B93|crisi economica, crollo dei prezzi
46B931|panico finanziario
46B932|inflazione
46BB2|persone che si occupano di commercio e traffici - BB - donne che si occupano di commercio e affari
46BB21|mercante, negoziante, venditore - BB - donne che si occupano di commercio e affari
46BB21(...)|mercante, negoziante, venditore (col NOME del mestiere - BB - donne che si occupano di commercio e affari
46BB22|venditore non stabile, errante, mercante che viaggia o gira il mondo - BB - donne che si occupano di commercio e affari
46BB221|ambulante, banchista, piccolo commerciante che vende sulla strada - BB - donne che si occupano di commercio e affari
46BB221(...)|ambulante, banchista, piccolo commerciante che vende sulla strada (col NOME del mestiere) - BB - donne che si occupano di commercio e affari
46BB2211|'cris de Paris', 'cries of London', ecc. - BB - donne che si occupano di commercio e affari
46BB222|venditore ambulante - BB - donne che si occupano di commercio e affari
46BB23|commesso viaggiatore - BB - donne che si occupano di commercio e affari
46BB24|negoziante - BB - donne che si occupano di commercio e affari
46BB241|commesso - BB - donne che si occupano di commercio e affari
46BB25|andare al mercato - BB - donne che si occupano di commercio e affari
46BB26|ritorno dal mercato - BB - donne che si occupano di commercio e affari
46BB27|cliente - BB - donne che si occupano di commercio e affari
46BB271|cliente soddisfatto - BB - donne che si occupano di commercio e affari
46BB272|cliente che reclama - BB - donne che si occupano di commercio e affari
46C|traffico, circolazione e trasporti
46C1|traffico di terra
46C11|strada, sentiero
46C111|guado
46C1111|attraversare un fiume
46C1112|traghetto
46C1113|attraversare camminando sulle pietre
46C112|ponte
46C1121|ponte in costruzione
46C11211|ponte in sospensione
46C11212|ponte a cantilever
46C11213|ponte levatoio
46C1122|forme di ponte
46C11221|ponte con strutture, p.es. copertura o costruzioni
46C113|viadotto
46C114|strada sotterranea, tunnel
46C115|regolamentazione del traffico (segnali, segnali luminosi, ecc.)
46C1151|segnale stradale
46C1152|guardia o vigile urbano in servizio
46C1153|semafori
46C1159|blocco stradale, ingorgo stradale
46C116|bivio, biforcazione
46C1160|bivio, biforcazione (rappresentazione allegorica o simbolica)
46C1161|palo indicatore
46C1162|pietra miliare
46C117|crocevia, 'mont-joie'
46C118|altre strutture ~ strada, vialetto
46C1181|rampa di gradini
46C12|forze umane ~ traffico e trasporto su terra
46C121|trasportare qualcosa
46C1211|trasportare qualcosa in un cesto, una borsa, un sacco da montagna, ecc.
46C1212|trasportare qualcosa con un giogo
46C1213|trasportare qualcosa con un palo da trasporto
46C1214|trasportare qualcosa con una barella
46C1215|trasportare qualcosa sulla testa o sulle spalle
46C122|carriola
46C123|carretto a mano
46C124|risciò
46C125|bicicletta
46C1251|antichi tipi di bicicletta
46C1251(...)|antichi tipi di bicicletta
46C1252|triciclo
46C12521|triciclo da trasporto
46C1253|monociclo
46C1254|tandem
46C1257|altri tipi di bicicletta
46C1257(...)|altri tipi di bicicletta (col NOME)
46C1258|parti, accessori di una bicicletta
46C1258(...)|parti, accessori di una bicicletta (col NOME)
46C126|mezzi di trasporto inconsueti
46C1261|trampoli
46C127|portare una persona
46C1271|portare una persona sulle spalle
46C1272|(portare una persona su una) lettiga, barella
46C1273|(portare una persona su una) portantina
46C128|esseri umani che tirano o spingono un veicolo generalmente non azionato da energia prodotta dall'uomo
46C13|animali da montare; animali da soma
46C131|cavalcare un cavallo, asino, mulo; cavaliere
46C1311|scuola di equitazione, maneggio
46C13111|scuola media d'equitazione
46C13112|carosello
46C1312|ritratto ufficiale equestre
46C1313|statua equestre
46C1314|cavalli e animali affini
46C13141|cavallo
46C13141(...)|cavallo (col NOME della razza o della specie)
46C131411|combattimento di cavalli
46C13142|asino, somaro
46C13143|mulo
46C13144|bardotto
46C1315|campo di allevamento
46C1316|sellare e imbrigliare
46C13161|sella e briglia (selleria)
46C131611|testiera di briglia
46C131612|morso
46C131613|redini
46C131614|sella
46C1316141|palanchino (sul dorso di un elefante)
46C131615|staffa
46C131616|paraocchi
46C131617|gualdrappa, coperta
46C1317|strigliare
46C13171|staffiere
46C13172|striglia
46C1318|cavallo in movimento
46C13181|passo (cavallo in movimento)
46C13182|trotto (cavallo in movimento)
46C13183|cavallo al galoppo
46C13184|salto (cavallo in movimento)
46C13185|impennarsi (cavallo in movimento)
46C13186|scalciare (cavallo in movimento)
46C13187|condurre un cavallo per le redini; cavaliere accanto al suo cavallo
46C1319|incidente con un cavallo (o un animale affine)
46C13191|scappare, fuggire (~ cavalli)
46C13192|cavallo disarciona cavaliere
46C13193|cavallo assalito da un animale selvatico
46C132|cavalcare animali diversi da cavallo, asino, mulo
46C133|animale da soma
46C14|animale da tiro, veicolo a trazione animale (carrozza, ecc.)
46C141|attaccare, mettere i finimenti ~ animali da tiro
46C1411|finimenti
46C14111|giogo
46C14112|altre parti dei finimenti
46C1412|animali, staccati, a lato di un carro
46C1413|togliere i finimenti
46C142|veicolo a due ruote a trazione animale
46C1421|veicolo a due ruote a trazione animale tirato da un solo animale
46C1422|veicolo a due ruote a trazione animale tirato da due animali
46C1423|veicolo a due ruote a trazione animale tirato da tre animali
46C1424|veicolo a due ruote a trazione animale tirato da più di tre animali
46C14241|quadriga
46C143|veicolo a tre ruote a trazione animale
46C1431|veicolo a tre ruote tirato da un solo animale
46C1432|veicolo a tre ruote tirato da due animali
46C1433|veicolo a tre ruote tirato da tre animali
46C1434|veicolo a tre ruote tirato da più di tre animali
46C144|veicolo a quattro ruote a trazione animale, p.es. carrozza
46C1441|veicolo a quattro ruote a trazione animale tirato da un solo animale
46C1442|veicolo a quattro ruote a trazione animale tirato da due animali
46C1443|veicolo a quattro ruote a trazione animale tirato da tre animali
46C1444|veicolo a quattro ruote a trazione animale tirato da più di tre animali
46C1444(...)|veicolo a quattro ruote a trazione animale tirato da più di tre animali (con l'indicazione del NUMERO di animali)
46C145|carro, carro agricolo, carro da trasporto
46C1451|carro coperto, carro con cappotta o soffietto
46C146|incitare un animale da corsa o un animale da tiro
46C1461|pungolo
46C1462|sperone
46C1463|frusta
46C147|diligenza, omnibus, tram a cavalli
46C148|slitta a trazione animale (olandese: 'toeslede'
46C149|incidente con un veicolo a trazione animale
46C1491|fuga di animali da tiro
46C1492|incidente con un veicolo a due ruote a trazione animale
46C14921|incidente con un veicolo a due ruote, tirato da un animale
46C14922|incidente con un veicolo a due ruote, tirato da due animali
46C14923|incidente con un veicolo a due ruote, tirato da tre animali
46C14924|incidente con un veicolo a due ruote, tirato da più di tre animali
46C149241|incidente con una quadriga
46C1493|incidente con un veicolo a tre ruote a trazione animale
46C14931|incidente con un veicolo a tre ruote, tirato da un animale
46C14932|incidente con un veicolo a tre ruote, tirato da due animali
46C14933|incidente con un veicolo a tre ruote, tirato da tre animali
46C14934|incidente con un veicolo a tre ruote, tirato da più di tre animali
46C1494|incidente con carrozze
46C14941|incidente con un veicolo a quattro ruote a trazione animale tirato da un solo animale
46C14942|incidente con un veicolo a quattro ruote, tirato da due animali
46C14943|incidente con un veicolo a quattro ruote, tirato da tre animali
46C14944|incidente con un veicolo a quattro ruote, tirato da più di tre animali
46C14944(...)|incidente con un veicolo a quattro ruote, tirato da più di tre animali (col NUMERO di animali)
46C1495|incidente con un carro o una carrozza
46C1496|incitare un animale da corsa o un animale da tiro ~ incidente
46C14961|pungolo ~ incidente
46C14962|sprone, sperone ~ incidente
46C14963|frusta, sferza ~ incidente
46C1497|incidente con diligenza, omnibus, tram a cavalli
46C1498|incidente con slitta a trazione animale (olandese: 'toeslede')
46C15|traffico ferroviario
46C151|ferrovia, tramvia; ferrovia a cremagliera
46C1511|binario, ferrovia, treno
46C15111|treno merci
46C15112|treno passeggeri
46C1512|tramvia, tram
46C15121|tram
46C1513|ferrovia a cremagliera
46C152|locomotiva
46C1521|locomotiva a vapore
46C1522|locomotiva diesel
46C1523|locomotiva elettrica
46C1529|altri tipi di locomotiva
46C1529(...)|altri tipi di locomotiva (col NOME del tipo)
46C153|vettura ferroviaria, carrozza ferroviaria, vagone ferroviario
46C1531|carrozza passeggeri
46C1532|vagone ferroviario
46C154|sistemi di segnalazione (ferrovia)
46C1541|cabina di segnalazione, stazione di segnalazione
46C1542|passaggio a livello incustodito (ferrovia)
46C1543|passaggio a livello custodito (ferrovia)
46C1544|segnale (ferrovia, tramvia)
46C155|stazione; pensilina (ferrovia, tramvia)
46C1551|piattaforma (ferrovia, tramvia)
46C1552|sala d'attesa (ferrovia, tramvia)
46C1559|(altri) edifici, costruzioni ~ ferrovia, tramvia
46C15591|deposito ~ ferrovia, tramvia
46C156|ferrovia sotterranea, metropolitana
46C1561|stazione sotterranea
46C157|monorotaia
46C158|ferrovia sospesa
46C1581|funicolare
46C159|incidente ferroviario
46C1591|incidente su una ferrovia, tramvia; ferrovia a cremagliera
46C1592|incidente con locomotiva
46C1593|incidente con vettura ferroviaria, con carrozza ferroviaria, con vagone ferroviario
46C1594|incidente con sistema segnaletico (ferroviario)
46C15941|incidente con cabina di comando dei segnali, semaforo (ferroviario)
46C15942|incidente a un passaggio a livello incustodito (ferroviario)
46C15943|incidente a un passaggio a livello custodito (ferroviario)
46C1595|incidente in stazione; in pensilina (ferroviaria)
46C1596|incidente in una ferrovia sotterranea
46C15961|incidente in stazione ferroviaria sotterranea
46C1597|incidente con monorotaia
46C1598|incidente con ferrovia sospesa
46C15981|incidente con funicolare
46C16|traffico su strada o su sentiero con un veicolo a motore
46C161|automobile
46C1611|automobile a tre ruote, autovettura
46C162|autobus, pullman
46C163|camion, furgone
46C164|veicolo anfibio
46C165|motocicli e altri veicoli a motore a due ruote
46C166|altri veicoli a motore non menzionati in precedenza
46C1661|trattore
46C167|parti, accessori di un veicolo a motore
46C1671|parti di un veicolo a motore
46C1671(...)|parti di un veicolo a motore (col NOME)
46C168|manutenzione, riparazione, deposito ~ veicoli a motore
46C1681|stazione di servizio
46C16811|distributore di benzina
46C16812|autofficina, garage per riparazioni, rifornimenti, ecc.
46C16813|autolavaggio, macchina per autolavaggio
46C1682|attrezzature, servizi di parcheggio
46C16821|parcheggio, parcheggio automobilistico
46C16822|garage di parcheggio, edificio di parcheggio, parcheggio multipiano
46C16823|parchimetro
46C168231|addetto al parcheggio, ai parchimetri
46C169|incidente con un veicolo a motore
46C1691|incidente automobilistico
46C16911|incidente con veicolo o automobile a tre ruote
46C1692|incidente con autobus, pullman
46C1693|incidente con camion, furgone
46C1694|incidente con veicolo anfibio
46C1695|incidente con motocicli o altri veicoli a motore a due ruote
46C17|vettura a vela
46C18|locomozione su neve e ghiaccio (non sportiva)
46C181|slitta (non sportiva)
46C1811|slitta da cavalli
46C1812|slitta da cani
46C1813|slitta da renne
46C1814|slitta mossa da punteruoli
46C182|racchette da neve
46C183|slitta a vela
46C189|incidente su neve o ghiaccio
46C19|ruota (di veicolo)
46C191|mozzo (di ruota)
46C1911|cuscinetto a sfere (di ruota)
46C192|raggi
46C193|pneumatico
46C1931|camera d'aria
46C1939|traccia di pneumatico
46C199|traccia di ruota
46C2|traffico sull'acqua
46C20|'Navigatione' (Ripa)
46C21|nave (in generale)
46C211|arsenale, bacino
46C212|riparazione, calafataggio, carenaggio (~ navi)
46C2121|bacino di carenaggio, bacino galleggiante
46C213|modello di nave
46C2131|modello di nave in bottiglia
46C214|raffigurazione di una nave
46C215|parti esterne della nave
46C215(...)|parti esterne della nave (col NOME)
46C215(ANCHOR)|parti esterne della nave: ancora
46C215(BOW)|parti esterne della nave: prua
46C215(FIGURE-HEAD)|parti esterne della nave: polena
46C215(MAST)|parti esterne della nave: albero di nave
46C215(RUDDER)|parti esterne della nave: timone
46C215(WINDLASS)|parti esterne della nave: argano
46C216|parti interne della nave
46C216(...)|parti interne della nave (col NOME)
46C219|traffico improvvisato e insolito sull'acqua
46C22|entrare in porto
46C221|nave in direzione del porto
46C222|nave nella rada, nave in rada
46C223|porto
46C2231|molo, banchina, pontile
46C2232|boa di ormeggio, bitta
46C2233|ponte da sbarco
46C2234|attrezzatura del porto
46C22341|gru da porto
46C2235|deposito (~ porto)
46C2236|rimessa
46C2237|imbarcazione in secco, spiaggiata
46C23|imbarcazione azionata dall'uomo o da animali
46C231|chiatta da rimorchio, rimorchiatore
46C232|barca a remi, canoa, ecc.
46C2321|remare in avanti, spingere
46C2322|remare all'indietro, tirare
46C23221|trireme, galea
46C2323|remare, vogare di coda
46C23231|gondola
46C2324|andare in canoa
46C2325|spingere con un palo, con una pertica
46C233|imbarcazione o veicolo tirato da animali marini (fantastici)
46C24|veliero, barca a vela
46C24(...)|veliero, barca a vela (col NOME)
46C241|sartiame di veliero
46C2411|parti del sartiame di veliero
46C2411(...)|parti di sartiame di veliero (col NOME)
46C24111|vela
46C24112|scala di corda
46C25|imbarcazione a vapore, imbarcazione a motore
46C251|elica di barca
46C252|sommergibile
46C253|campana subacquea, batisfera
46C254|rompighiaccio
46C255|rimorchiatore
46C256|imbarcazione da trasporto, nave da carico
46C2561|pontone, chiatta, a motore
46C257|nave passeggeri, transatlantico
46C26|motoveliero, veliero a vapore
46C261|veliero a motore
46C27|equipaggio e passeggeri
46C271|equipaggio ~ imbarcazione
46C2711|marinaio, uomo di mare
46C2711(...)|marinaio, uomo di mare (col NOME del grado)
46C2711(SAILOR)|marinaio, uomo di mare: marinaio
46C2712|disciplina e punizione (a bordo)
46C2713|uscita durante il congedo, marinaio con permesso di sbarco
46C2719|ammutinamento
46C272|passeggeri ~ imbarcazione
46C273|celebrazione a bordo
46C2731|celebrazione a bordo attraversando l'equatore (Nettuno)
46C279|clandestino ~ nave
46C28|navigazione e manovra
46C280|'Navigatione' (Ripa)
46C281|segnalazione ~ navigazione
46C2811|segnale di tempesta ~ navigazione
46C282|rilevamento della posizione in mare; strumenti nautici
46C2821|rilevamento della posizione in mare con l'aiuto delle stelle o del sole
46C2822|quadrante, sestante, ottante (strumenti nautici)
46C2823|astrolabio
46C283|faro
46C2831|faro, battello-faro
46C2832|boa con campana, boa a fischio
46C2833|boa luminosa
46C284|scandagliare, scandaglio
46C285|manovre su una nave, su un'imbarcazione
46C2851|sul ponte (manovre su una nave)
46C2852|al timone (manovre su una nave)
46C2853|battello pilota
46C2854|stare in guardia nella coffa (manovre su una nave)
46C286|sollevare una nave, un'imbarcazione, sopra una barra
46C2861|costruzione che permette di sollevare una (piccola) nave sopra una barriera (olandese: 'overtoom')
46C2862|cammello (mezzo usato per sollevare una nave sopra una barra)
46C289|nave dei morti, nave fantasma
46C2891|Olandese volante (nave dei morti)
46C29|incidente di navigazione; malattia e morte in mare
46C291|naufragio
46C292|annegamento, naufrago
46C2921|imbarcazione di salvataggio
46C2922|zattera
46C2923|cadere fuori bordo
46C29231|essere gettati fuori bordo
46C293|servizio di salvataggio marino
46C2931|salvare una persona dall'annegamento
46C2932|cintura di salvataggio, boa di salvataggio
46C294|naufragio a terra
46C2941|salvataggio da un naufragio
46C295|trascinare navi al naufragio
46C2951|beach-comber (uomo che vive di ciò che il mare rigetta sulla riva), saccheggiatore di relitti
46C296|mal di mare
46C297|sepultura in mare
46C298|danno (a una nave)
46C3|traffico aereo
46C31|volare su animali o con l'aiuto di animali
46C32|volare su oggetti o con l'aiuto di oggetti
46C33|volare per propulsione autonoma
46C34|pallone aerostatico (aviazione)
46C35|dirigibile, zeppelin
46C36|aeromobile, aeroplano
46C361|parti, accessori di aereo, velivolo
46C3611|parti di aereo, velivolo
46C3611(...)|parti di aereo, velivolo (col NOME)
46C362|equipaggio e passeggeri ~ aviazione
46C3621|equipaggio ~ aviazione
46C36211|equipaggio, personale di volo
46C362111|pilota
46C36212|assistenti di volo, equipaggio di cabina ~ aviazione
46C362121|assistente di cabina, hostess, steward, capocabina
46C36213|personale di terra ~ aviazione
46C3622|passeggeri di volo
46C37|altri mezzi aerei
46C371|elicottero
46C372|autogiro (aviazione)
46C373|hovercraft
46C38|campo d'aviazione
46C381|strutture, edifici ~ campo d'aviazione, aeroporto
46C3811|torre di controllo di aeroporto
46C3812|hangar
46C39|disastro aereo, incidente di volo
46C4|astronauti, viaggi nello spazio, viaggi interplanetari
46C41|razzo (astronauti)
46C42|veicolo spaziale; capsula, stazione
46C43|astronauta, cosmonauta
46C49|UFO, disco volante
46C491|esseri provenienti dallo spazio
46C5|viaggiare; turismo
46C51|fasi del viaggio
46C511|preparativi per il viaggio
46C512|partenza ~ viaggio
46C5121|fare cenni di addio o di saluto ~ partenza per un viaggio
46C513|'en route', viaggiatore in cammino
46C5131|chiedere la strada
46C5132|studiare una mappa
46C5133|autostop
46C5134|viaggiatori assaliti da rapinatori
46C5135|riposo (di un viaggiatore) all'aperto
46C5136|portatore, facchino
46C514|arrivo e ritorno ~ viaggo
46C5141|essere accolti (all'arrivo, ~ viaggo)
46C519|perdersi; smarrire la strada
46C52|albergo, locanda
46C521|reception, ufficio ricevimento (~ albergo)
46C522|stanza d'albergo
46C53|emigrante
46C54|turismo
46C541|gita, viaggio di piacere
46C542|viaggio culturale
46C5421|visita turistica
46C54211|grand tour
46C5422|viaggio organizato
46C54221|guida (~ viaggo organizzato)
46C5423|manuale turistico, guida (libro)
46C543|giro del mondo, p.es. crociera intorno al mondo
46C55|bagaglio, necessario per il viaggio
46C551|baule, valigia
46C552|zaino, sacco da montagna
46C56|souvenir (~ turismo)
46C57|viaggio immaginario, simulato; viaggio nell'altro mondo, 'accès à un autre monde'
46CC21|nave (in generale) - CC - navi
46CC211|arsenale, bacino - CC - navi
46CC212|riparazione, calafataggio, carenaggio (~ navi) - CC - navi
46CC2121|bacino di carenaggio, bacino galleggiante - CC - navi
46CC213|modello di nave - CC - navi
46CC2131|modello di nave in bottiglia - CC - navi
46CC214|raffigurazione di una nave - CC - navi
46CC215|parti esterne della nave - CC - navi
46CC215(...)|parti esterne della nave (col NOME) - CC - navi
46CC215(ANCHOR)|parti esterne della nave: ancora - CC - navi
46CC215(BOW)|parti esterne della nave: prua - CC - navi
46CC215(FIGURE-HEAD)|parti esterne della nave: polena - CC - navi
46CC215(MAST)|parti esterne della nave: albero di nave - CC - navi
46CC215(RUDDER)|parti esterne della nave: timone - CC - navi
46CC216|parti interne della nave - CC - navi
46CC216(...)|parti interne della nave (col NOME) - CC - navi
46CC219|traffico improvvisato e insolito sull'acqua - CC - navi
46D|stampa, giornalismo
46D1|diffusione orale di notizie, banditore municipale
46D2|distribuzione di opuscoli
46D3|giornale, quotidiano
46D31|rivendita di giornali, chiosco di giornali
46D32|strillone
46D33|consegna (di giornali)
46D4|settimanale, mensile, periodico, ecc.
46D41|stampa sensazionale, 'canard'
46D5|stampatore
46D51|comitato editoriale
46D52|giornalista, cronista
46D53|fotografo
46D54|intervistare
46E|posta, telegrafo e telefono; mezzi di comunicazione
46E1|fattorino
46E11|cassetta del fattorino
