4|società, civilizzazione, cultura
41AA3332|imposte all'interno - AA - finestra finta
41AA335|sedile da finestra - AA - finestra finta
41AA336|figura umana alla finestra (aperta) - AA - finestra finta
41AA3361|figura umana alla finestra (aperta) vista da fuori - AA - finestra finta
41AA3362|figura umana alla finestra (aperta) vista dall'interno - AA - finestra finta
41AA337|vista attraverso una finestra - AA - finestra finta
41AA3371|vista attraverso una finestra dall'esterno - AA - finestra finta
41AA3372|vista attraverso una finestra dall'interno - AA - finestra finta
41B|scaldare, illuminare, ventilare
41B1|fuoco (aperto, libero, in generale)
41B11|accendere un fuoco
41B111|pietra focaia e acciarino
41B112|scatola per esca e acciarino
41B113|zolfanello
41B114|fiammifero
41B1141|scatola di fiammiferi
41B115|miccia
41B12|bruciare come processo
41B12(...)|bruciare come processo (col NOME del combustibile)
41B12(COAL)|bruciare come processo: carbone
41B12(FAGGOT)|bruciare come processo: fascina
41B12(LOG)|bruciare come processo: ceppo
41B12(OIL)|bruciare come processo: petrolio
41B12(STRAW)|bruciare come processo: paglia
41B121|fiamma
41B122|scintilla ~ fuoco
41B123|gas liberati dalla combustione
41B13|alimentare un fuoco
41B131|soffiare (alimentare un fuoco)
41B1311|mantice
41B132|far vento (alimentare un fuoco)
41B1321|ventola (alimentare un fuoco)
41B133|attizzare (accendere un fuoco)
41B1331|attizzatoio
41B14|spegnere un fuoco
41B15|residui della combustione
41B151|fuliggine
41B152|cenere
41B153|brace, scoria
41B16|fuoco di bivacco; fuoco di bivacco
41B161|falò
41B162|fumo
41B2|focolare e stufa
41B21|focolare, focolare centrale, camino
41B211|scaldarsi al fuoco (al focolare, alla stufa)
41B212|strumenti ~ focolare, camino
41B2121|molle per fuoco
41B2122|estintore per carbone
41B213|accessori ~ focolare, camino
41B2131|parafuoco (metallico)
41B2132|paralapilli, paracenere (davanti al camino)
41B2133|piano del focolare
41B2134|dummy board figures (sagome dipinte con figure umane, usate come parafuoco o come ornamento)
41B2135|pentola sospesa a una catena
41B2136|alare
41B214|camino
41B2141|mensola di camino
41B2142|ornamenti del camino
41B22|stufa per riscaldamento
41B221|grata da stufa
41B222|tubo da stufa
41B223|secchio da carbone
41B224|pala da carbone
41B23|scaldapiedi
41B231|scaldaletto (per letto)
41B232|borsa d'acqua calda
41B24|riscaldamento centralizzato
41B241|termosifone (riscaldamento centralizzato)
41B29|rinfrescare, condizionamento d'aria
41B3|illuminare; lampada
41B31|candela
41B311|lampadario (a più bracci), candelabro
41B312|applique, lampada a muro
41B313|candeliere
41B314|smoccolatoio
41B32|torcia
41B33|lanterna
41B34|lampada a olio
41B35|lampada a paraffina
41B36|lampada a gas
41B37|lampada elettrica
41B371|lampadina (elettrica)
41B372|lampada al neon, tubo al neon
41B4|in fiamme
41B5|lotta contro il fuoco, attività antincendio
41B51|caserma dei vigili del fuoco, vigili del fuoco
41B511|pompiere
41B52|attrezzatura per spegnere il fuoco
41B521|secchio (attrezzatura per spegnere il fuoco)
41B522|pompa (attrezzatura per spegnere il fuoco)
41B523|manichetta antincendio
41B524|estintore chimico (attrezzatura per spegnere il fuoco
41B525|autopompa
41B53|salvare dal fuoco
41B531|salvare dal fuoco con un telo di salvataggio
41B6|sistemi di ventilazione
41B61|pozzo di ventilazione
41BB32|torcia - BB - torcia voltata verso il basso
41C|nutrizione, nutrimento
41C1|mangiare e bere
41C10|gastronomia, l'arte del mangiare e del bere
41C11|mangiare
41C111|dare cibo
41C119|fame
41C1190|personificazione della fame, 'Fames'; 'Fame' (Ripa)
41C1191|inedia, carestia
41C1192|sciopero della fame
41C12|bere
41C121|dare da bere
41C122|versare
41C129|sete
41C13|soffiare per raffreddare il cibo prima di mangiare
41C14|rimescolare per raffreddare il cibo prima di mangiare
41C18|essere saturi, sazi
41C19|fame o sete insaziabili
41C2|cucina e cantina
41C21|cucina
41C211|interno di cucina
41C2111|interno di cucina con generi alimentari in primo piano (olandese: 'keukenstuk')
41C212|acquaio, lavandino (cucina)
41C22|personale di cucina
41C221|cuoco
41C222|sguattera
41C23|cucina ricca e povera
41C231|cucina ricca
41C232|cucina povera
41C24|conservazione del cibo
41C241|cantina
41C2411|cantina per la conservazione del vino
41C24111|cantiniere
41C242|cella frigorifera
41C2421|ghiacciaia, frigorifero
41C25|cucinare cibo
41C251|arrostire, cuocere ai ferri
41C2511|spiedo ~ cottura
41C2512|griglia, graticola ~ cottura del cibo
41C252|friggere
41C253|bollire, lessare
41C254|fuoco (per cucinare), focolare da cucina
41C2541|focolare, stufa (in cucina)
41C2542|fornello
41C2543|forno (~ cucina)
41C26|preparazione del cibo
41C261|pulire (cibo)
41C2611|pulire verdure
41C2612|pulire frutta, p.es. sbucciare
41C26121|frutto (semi)sbucciato, p.es.: limone
41C2613|pulire un volatile o piccoli animali
41C26131|volatile spennato
41C262|spartire (cibo)
41C2621|tagliare carne
41C2622|affettare pane
41C263|mescolare, unire ingredienti (preparare del cibo)
41C2631|preparare un impasto o una pastella
41C264|spaniare, battere (preparazione del cibo)
41C265|ornare, decorare, rivestire (preparazione del cibo)
41C269|rigovernare
41C27|utensili da cucina
41C27(...)|utensili da cucin (col NOME)
41C27(CAULDRON)|utensili da cucina: calderone
41C27(COLANDER)|utensili da cucina: colino
41C27(FRYING PAN)|utensili da cucina: padella
41C27(FUNNEL)|utensili da cucina: imbuto
41C27(GRATER)|utensili da cucina: grattugia
41C27(LADLE)|utensili da cucina: mestolo
41C27(PAN)|utensili da cucina: casseruola
41C27(POT)|utensili da cucina: pentola
