2|natura
26C1314|vento da est-nord-est (ENE) (una delle sedici direzioni)
26C1315|vento da est (E) (una delle sedici direzioni)
26C1316|vento da est-sud-est (ESE) (una delle sedici direzioni)
26C1317|vento da sud-est (SE) (una delle sedici direzioni)
26C1318|vento da sud-sud-est (SSE) (una delle sedici direzioni)
26C132|da sud a nord, in senso orario
26C1321|vento da sud (S) (una delle sedici direzioni)
26C1322|vento da sud-sud-ovest (SSO) (una delle sedici direzioni)
26C1323|vento da sud-ovest (SO) (una delle sedici direzioni)
26C1324|vento da ovest-sud-ovest (OSO) (una delle sedici direzioni)
26C1325|vento da ovest (O) (una delle sedici direzioni)
26C1326|vento da ovest-nord-ovest (ONO) (una delle sedici direzioni)
26C1327|vento da nord-ovest (NO) (una delle sedici direzioni)
26C1328|vento da nord-nord-ovest (NNO) (una delle sedici direzioni)
26C14|altre suddivisioni dei venti
26C2|suddivisioni dei venti secondo l'intensità
26C21|termini tratti dal linguaggio di marina per l'intensità dei venti
26C21(...)|termini tratti dal linguaggio di marina per l'intensità dei venti (col NOME)
26C22|scala di Beaufort
26C3|tempesta
26C31|tempesta sulla terra
26C32|tempesta sul mare
26C33|tempesta di sabbia
26C34|tempesta di neve
26C35|turbine, ciclone, uragano, tifone, tornado
26C351|turbine, ciclone, uragano, tifone, tornado sulla terra
26C352|turbine, ciclone, uragano, tifone, tornado sul mare
26C4|ventaruola, mostravento
26C41|banderuola
26C42|manica a vento
26C5|barometro
26C6|vento come volto umano, che soffia con le guance rigonfie, tonde
26C9|assenza di vento, calma, bonaccia
26D|gelo, tempo glaciale
26D1|neve
26D11|valanga
26D111|protezioni contro le valanghe
26D2|grandine
26D3|vetrone, brina
26D4|ghiaccio ~ tempo glaciale
26D41|ghiaccio alla deriva
26D42|ghiacciolo
26D5|inverni rigidi
26D9|disgelo
26E|temporale
26E1|tuono
26E2|lampo, baleno, fulmine
26E21|parafulmine
26E22|incidenti dovuti a fulmini
26E3|altri fenomeni elettrici meteorologici
26E31|fuochi di Sant'Elmo
26E32|aurora boreale, 'aurora borealis'
26F|tempo buono e cattivo
26F1|tempo buono
26F10|'Salubrità o purità dell'aria' (Ripa)
26F11|ondata di caldo
26F111|insolazione
26F2|tempo cattivo
26F21|ondata di freddo
26F22|'Pruina', tempo invernale
26F3|conseguenze del tempo, p.es. dopo la siccità, prima della tempesta, dopo il ciclone
26G|miraggio, 'fata morgana'
26H|ulteriori fenomeni metereologici
29|surrealia, rappresentazioni surreali
29A|animali che agiscono come esseri umani
29A1|'mundus inversus', il mondo alla rovescia, il mondo sottosopra, 'le monde bestourné'
29A2|piante o alberi che agiscono come, o sono confrontati con esseri umani
29B|piante che agiscono come esseri umani o come animali
29C|oggetti che prendono vita, p.es. marionette
29D|forme naturali di pietre, legno, nubi, ecc., interpretate come rappresentazioni
3|essere umano, uomo in generale
31|uomo in senso biologico generale
31A|la figura umana (nuda); 'Corpo humano' (Ripa)
31A1|canone, proporzioni
31A11|figura in piedi (canone, proporzioni)
31A12|figura nel cerchio o quadrato, gambe e braccia alzate o tese lateralmente
31A13|altri sistemi o canoni
31A14|figura umana di proporzioni ideali, p.es. nudo accademico
31A140|rappresentazione allegorica della figura umana di proporzioni ideali
31A141|nudo con genitali coperti
31A19|'homo Platonis', 'animal bipes implume'
31A2|anatomia (non-sanitaria)
31A21|scheletro (umano)
31A211|teschio (umano)
31A2111|mandibola (umana)
31A2112|denti
31A21121|denti anteriori
31A21122|denti posteriori, molari
31A212|torace
31A2121|costole
31A2122|spina dorsale
31A2123|clavicola
31A2124|scapola
31A213|bacino
31A214|ossa delle braccia
31A2141|omero, osso del braccio
31A2142|radio e ulna, ossa dell'avambraccio
31A2143|carpo e metacarpo, parti della mano
31A2144|falangi delle dita
31A215|ossa delle gambe
31A2151|femore, osso della coscia
31A2152|tibia e perone, ossa della gamba
31A2153|tarso e metatarso, parti del piede
31A2154|falangi delle dita del piede
31A216|ossa in generale (corpo umano)
31A22|parti del corpo umano (scheletro escluso)
31A221|testa (umana)
31A2211|volto
31A22111|parti del volto
31A22111(...)|parti del volto (col NOME)
31A22111(LIPS)|parti del volto: labbra
31A22111(NOSE)|parti del volto: naso
31A2212|occhi
31A22121|'imago omnia videntis'
31A2213|orecchie
31A2214|bocca
31A22141|lingua
31A2215|testa (interno)
31A22151|cervello
31A22152|cavità nasale
31A22153|cavità orofarigea
31A222|torace, busto
31A2221|cuore
31A22210|simbolismo del cuore
31A222101|simbolismo profano del cuore ~ amore
31A22211|parti del cuore
31A2222|polmoni, bronchi
31A22221|respirare, respirazione
31A22222|ansimare, respirare a fatica
31A22229|soffocare
31A2223|seni
31A22231|capezzoli
31A22232|seni che danno latte
31A2224|spalle
31A2225|schiena
31A2226|torso
31A223|addome, ventre (essere umano)
31A2231|aspetto esterno ~ addome
31A22311|ombelico
31A22312|anca
31A2232|ghiandole
31A22321|fegato (anatomia umana)
31A22322|cistifellea
31A22323|milza
31A22324|rena
31A2233|stomaco
31A22331|esofago
31A2234|intestini
31A2235|vescica
31A2236|organi sessuali (umani)
31A22361|organi sessuali maschili
31A223611|testicoli
31A223612|pene, fallo
31A2236121|immagine del fallo, 'phallos'
31A223613|sperma
31A22362|organi sessuali femminili
31A223621|utero
31A2236211|utero con feto
31A223622|ovaie
31A223623|mestruazione
31A223624|vagina
31A2237|natiche, 'partes posteriores'
31A22371|ano
31A224|braccia
31A2241|parte superiore del braccio
31A2242|gomito
31A2243|parte inferiore del bracio, avambraccio
31A2244|polso
31A2245|mano
31A22451|impronta della mano
31A2246|dita
31A22461|pollice
31A22462|dito indice
31A22463|dito medio
31A22464|dito anulare
31A22465|dito mignolo
31A2247|unghie (dita)
31A225|gambe
31A2251|parte superiore della gamba, coscia
31A2252|ginocchio
31A2253|parte inferiore della gamba
31A2254|caviglia
31A2255|piede
31A22551|tallone
31A22552|impronta del piede, orma
31A2256|dita del piede
31A2257|unghie (piedi)
31A226|altri particolari anatomici
31A2261|circolazione del sangue
31A22611|sangue
31A22612|arterie
31A22613|vene
31A2262|pelle (umana)
31A22621|capelli
31A22622|peli, peluria del corpo
31A22623|peli del pube
31A22624|colore della pelle
31A22624(...)|colore della pelle (con numero FITZPATRICK)
31A2263|muscoli
31A2264|tendini, legamenti
31A2265|nervi
31A23|postura della figura umana
31A231|figura in piedi
31A2311|'contrapposto', 'Standbein und Spielbein'
31A2312|'figura serpentinata'
31A2313|in piedi su una gamba
31A2319|in verticale sulla testa o sulle mani
31A232|figura inclinata, che si poggia o sporge
31A2321|inclinata in avanti
31A2322|inclinata indietro
31A2323|inclinata di lato
31A233|figura inginocchiata (su un ginocchio)
31A2331|figura inginocchiata su ambedue le ginocchia
31A234|figura accovacciata, rannicchiata
31A2341|figura raggomitolata
31A235|figura seduta
31A2351|seduta a terra
31A2352|seduta su un elemento rialzato
31A2353|seduta con braccia o gomiti sulle ginocchia
31A23531|seduta con mano(i) poggiata(e) sulla coscia o sul ginocchio
31A2354|seduta in grembo a qualcuno
31A236|figura sdraiata (sulla schiena, supina)
31A2361|sdraiata sulla schiena (supina) con la parte superiore del corpo sollevata
31A2362|sdraiata a faccia in giù, prona
31A2363|figura distesa su un lato, su un fianco
31A2364|distesa su un lato, con la parte superiore del corpo sollevata e il braccio poggiato
31A2365|figura supina, con le mani sotto la testa
31A2366|figura prona, con le mani sotto la testa
31A237|figura appesa (per le braccia, le gambe, ecc.)
31A2371|appesa per le braccia
31A23711|appesa per un braccio
31A2372|appesa per le gambe
31A23721|appesa per una gamba
31A2373|appesa per altre parti del corpo
31A23731|appesa per i capelli
31A23732|appesa per i denti
31A239|altre posture della figura umana, non indicate o esplicitamente menzionate in precedenza
31A2391|figura curvata, chinata
31A24|posture della testa
31A241|testa in posizione eretta normale
31A242|testa girata di lato
31A2421|testa girata a sinistra
31A2422|testa girata a destra
31A243|testa piegata all'indietro
31A244|testa piegata in avanti; capo chino
31A245|testa inclinata a sinistra
31A246|testa inclinata a destra
31A247|guardare oltre la spalla
31A249|altre posture della testa, non indicate o esplicitamente menzionate in precedenza
31A25|posture e gesti di braccia e mani
31A251|posture e gesti di braccia e mani in generale
31A2511|braccio alzato verso l'alto
31A25111|braccio alzato, con dita chiuse
31A25112|braccio alzato, con dita aperte
31A25113|braccio alzato, con pugno
31A2512|braccio teso in avanti
31A2513|braccio teso di lato
31A2514|braccio tenuto all'indietro
31A2515|braccio tenuto in basso
31A2516|braccio o mano tenuti davanti al corpo
31A25161|braccio o mano tenuti davanti al torace
31A251611|mano che tiene il petto
31A25162|mano sul cuore
31A25163|mano che batte il petto
31A25164|mano che scopre il petto
31A25165|braccia incrociate sopra l'addome
31A2517|braccio o mano piegati dietro il corpo
31A25171|braccio piegato dietro la schiena
31A25172|mano dietro la testa
31A2518|mano sul fianco
31A2519|mano non visibile
31A25191|mano in tasca
31A25192|mano nella manica
31A25193|mano sul petto (o sullo stomaco), infilata in un'apertura della veste
31A252|posture e gesti delle braccia e delle mani in relazione tra di loro
31A2521|braccia incrociate
31A25211|braccia incrociate, dietro la schiena
31A25212|braccia incrociate sul petto
31A2522|mani giunte
31A25221|mani giunte con le dita intrecciate
31A25222|strofinarsi, torcersi le mani
31A2523|mani una contro l'altra
31A25231|mani con la punta delle dita una contro l'altra
31A2524|contare, fare calcoli, con le dita
31A2525|mani una sull'altra
31A253|posture e gesti delle braccia e delle mani in relazione alla testa
31A2531|mano/i piegata/e verso la testa
31A25311|'caput manui innixum', testa tenuta con la mano (tra le mani)
31A25312|testa tenuta con la mano (o tra le mani), con i gomiti poggiati su un elemento rialzato o sulle ginocchia
31A25313|coprire la testa, tirare un tessuto sul volto
31A25314|mano/i dietro la testa
31A2532|mano che tocca la barba
31A2533|mano verso la fronte
31A25331|indicare la fronte con il dito indice
31A25332|'cornuto', cioè mano sopra la fronte con l'indice e il mignolo alzati
31A2534|mano/i verso gli occhi
31A25341|guardare con la mano tenuta sopra gli occhi
31A25342|sbirciare tra le dita
31A25343|stropicciarsi gli occhi
31A25344|asciugarsi le lacrime
31A2535|mano/i verso il naso
31A25351|tenersi il naso
31A2536|mano/i verso la bocca
31A25361|fischiare con le dita
31A25362|tirarsi gli angoli della bocca
31A2537|mano/i verso le orecchie
31A25371|far coppa con le mani all'orecchio
31A25372|grattarsi l'orecchio
31A25373|coprire le orecchie
31A254|posture e gesti delle braccia e delle mani in relazione ad un'altra persona
31A2541|afferrare, stringere qualcuno per il braccio
31A25411|camminare a braccetto, sottobraccio
31A2542|imposizione delle mani
31A2543|afferrare, stringere qualcuno per la mano o per il polso; stringersi la mano
31A25431|tre o più mani che si stringono, con il significato 'L'unione fa la forza'
31A25432|condurre qualcuno per la mano o stringendogli il polso
31A25433|'immixtio manuum', porre le mani giunte tra le mani di un altro
31A25434|colpire i palmi l'uno all'altro
31A2544|afferrare qualcuno per la testa
31A25441|afferrare qualcuno per i capelli
31A25442|afferrare qualcuno per la guancia
31A25443|afferrare qualcuno per la gola
31A2545|afferrare qualcuno per le spalle
31A2546|afferrare qualcuno per le gambe
31A25461|afferrare qualcuno per i piedi
31A2549|afferrare qualcuno per altre parti del corpo
31A255|posture e gesti della mano e delle dita
31A2551|posture e gesti della mano
31A25511|dita chiuse (posture e gesti della mano)
31A25512|dita aperte (posture e gesti della mano)
31A25513|mano chiusa a pugno
31A2552|posture e gesti del palmo della mano
31A25521|palmo della mano girato verso l'alto
31A25522|palmo della mano girato verso il basso
31A2553|posture e gesti del pollice
31A25531|pollice girato verso l'alto
31A25532|pollice girato verso il basso, 'pollice verso'
31A2554|posture e gesti del pollice e delle altre dita
31A25541|sfiorare con il pollice la punta del dito indice
31A25542|pollice tra indice e medio
31A25543|schioccare le dita
31A2555|posture e gesti del dito indice
31A25551|indice verso l'alto
31A25552|indice puntato in avanti, che indica
31A25553|chiamare una persona con un dito, con un cenno; far cenno di avvicinarsi
31A2556|posture e gesti dell'indice e del medio
31A25561|indice e medio alzati, uniti
31A25562|indice e medio alzati, aperti; a formare il segno V
31A2559|posture e gesti delle altre dita
31A256|linguaggio del gesto
31A259|ulteriori posture e gesti delle braccia e delle mani non indicate o esplicitamente menzionate sotto i codici da 31 A 25 1 a 31 A 25 6
31A26|posture delle gambe
31A261|ambedue le gambe nella medesima posizione
31A2611|ambedue le gambe diritte
31A26111|in piedi, con il corpo diritto o inclinato, con ambedue le gambe diritte, unite, con la pianta dei piedi sul terreno
31A26112|in piedi, con il corpo diritto o inclinato, con ambedue le gambe diritte, unite, in punta di piedi
31A26113|seduti o sdraiati con ambedue le gambe diritte, unite
31A26114|in piedi, con il corpo diritto o inclinato, seduti o sdraiati, con le gambe separate
31A26115|distesi con gambe sollevate, tese
31A2612|ambedue le gambe con le ginocchia piegate
31A26121|in piedi con le ginocchia piegate, a gambe unite
31A26122|seduti con le ginocchia piegate, a gambe unite
31A26123|accovacciati con le gambe unite
31A26124|ambedue le gambe con le ginocchia piegate, unite, poggiate a terra; in ginocchio
31A26125|ambedue le gambe con le ginocchia piegate, unite, accostate al petto
31A26126|in piedi con le ginocchia piegate, le gambe divaricate
31A26127|seduti con le ginocchia piegate, a gambe divaricate
31A26128|seduti o sdraiati con le ginocchia piegate, le gambe tirate su o sollevate
31A26129|seduti a gambe accavallate, come il sarto al lavoro
31A261291|posizione del Buddha, posizione del loto
31A262|gambe in posizioni differenti tra loro
31A2621|una gamba davanti all'altra
31A26211|una gamba davanti all'altra, posizione della camminata
31A26212|una gamba davanti all'altra, con un ginocchio piegato, in affondo
31A26213|gambe piegate con le ginocchia a terra, una davanti all'altra
31A2622|una gamba piegata portata in avanti o indietro, con il ginocchio o il piede poggiato su un elemento rialzato
31A2623|in piedi su una gamba, l'altra gamba in avanti
31A26231|in piedi su una gamba, l'altra gamba in avanti, diritta
31A262311|in piedi su una gamba, l'altra gamba in avanti, diritta, (quasi) orizzontalmente; passo dell'oca, 'Hahnentritt'
31A26232|in piedi su una gamba, l'altra gamba in avanti, piegata
31A262321|in piedi su una gamba, l'altra gamba in avanti, piegata e alzata
31A262322|in piedi su una gamba, l'altra gamba in avanti, tenendola con una mano/con le mani
31A2624|in piedi su una gamba, l'altra gamba tenuta lateralmente
31A26241|in piedi su una gamba, l'altra gamba tenuta lateralmente, diritta
31A26242|in piedi su una gamba, l'altra gamba tenuta lateralmente, piegata
31A2625|in piedi su una gamba, l'altra gamba indietro
31A26251|in piedi su una gamba, l'altra gamba indietro, diritta
31A26252|in piedi su una gamba, l'altra gamba indietro, piegata
31A262521|in piedi su una gamba, l'altra gamba indietro, piegata e alzata
31A262522|in piedi su una gamba, l'altra gamba indietro, tenendola con una mano/con le mani
31A2626|seduti o sdraiati con una gamba tesa avanti e l'altra tirata su
31A2627|in piedi, con il corpo diritto o inclinato, seduti o sdraiati, con le gambe incrociate
31A2628|seduti, con il lato di un piede posto sul ginocchio dell'altra gamba
31A27|movimenti del corpo umano
31A271|movimenti in avanti del corpo umano
31A2711|camminare
31A27111|camminare di buon passo, a grandi passi
31A27112|correre
31A27113|passeggiare
31A2712|strisciare, camminare carponi, a quattro zampe
31A27121|camminare sulle ginocchia
31A2713|barcollare, vacillare, traballare
31A2714|saltare, saltellare
31A2715|ruzzolare
31A2716|fare una capriola (le mani che toccano terra)
31A2717|camminare sulle mani
31A2719|movimenti all'indietro
31A272|movimento in su e in giù
31A2721|saltar su, balzare in piedi
31A2722|tirarsi su
31A2723|arrampicarsi
31A2724|saltar giù
31A2725|scendere
31A2726|calpestare, schiacciare, pestare i piedi su qualcuno o qualcosa
31A273|moto passivo
31A2731|cadere
31A2732|scivolare
31A27321|inciampare
31A2733|esser trasportati
31A27331|essere sostenuti
31A2734|essere trascinati
31A2735|essere gettati
31A274|movimento ~ oggetti
31A2741|gettare qualcosa
31A27411|lasciar andare qualcosa
31A27412|gettare a terra qualcosa
31A2742|cercare di prendere qualcosa
31A2743|cercare di colpire qualcosa
31A2744|calciare, dare un calcio a qualcosa
31A2745|afferrare qualcosa
31A2746|rompere qualcosa
31A2747|tirare, trascinare qualcosa
31A2748|spingere qualcosa
31A27481|girare o far girare qualcosa, (causare un) movimento rotatorio o circolare
31A275|altri movimenti
31A2751|raggomitolarsi (movimento del corpo umano)
31A2752|stendersi, stirarsi (movimento del corpo umano)
31A2753|ruotare, contorcersi (movimento del corpo umano)
31A2754|muovere le braccia
31A2755|muovere le gambe
31A2756|curvare la sciena
31A2757|ruota (capriola laterale)
31A276|movimento nell'aria
31A2761|salire (movimento nell'aria)
31A2762|volare
31A2763|galleggiare nell'aria
31A27631|sedere o stare in piedi sulle nuvole
31A2764|cadere, precipitare attraverso l'aria
31A2765|capriola, salto mortale (movimento nell'aria)
31A277|movimento in acqua
31A2771|guadare, sguazzare
31A2772|bagnarsi (movimento in acqua)
31A2773|nuotare (movimento in acqua)
31A2774|galleggiare (movimento in acqua
31A2775|tuffarsi, immergersi (movimento in acqua)
31A2776|affondare (movimento in acqua)
31A2777|rimanere sospesi (movimento in acqua)
31A2778|emergere dall'acqua
31A2779|camminare sull'acqua
31A28|l'uomo e la sua ombra
31A281|ombra venduta al diavolo
31A2811|uomo senza ombra
31A282|uomo che segue la sua ombra
31A283|uomo che combatte la sua ombra
31A3|i (cinque) sensi
31A30|'Sensi', 'Sensi, come si possono rappresentare in una figura sola', 'Senso', 'Sentimenti del corpo' (Ripa)
31A31|vista, guardare (uno dei cinque sensi)
31A310|'Viso' (Ripa)
31A311|lenti, occhiali
31A3111|monocolo, occhialino con una sola lente
31A3112|occhiali da sole, occhiali scuri
31A312|lente d'ingrandimento
31A313|'figura cuncta videntis'
31A314|spiare qualcuno
31A319|ostacoli alla vista
31A3191|occhi bendati
31A32|udito, ascoltare (uno dei cinque sensi)
31A320|'Udito' (Ripa)
31A321|apparecchio acustico
31A329|persona che origlia
31A33|olfatto, odorato (uno dei cinque sensi)
31A330|'Odorato' (Ripa)
31A331|odore gradevole
31A332|odore sgradevole, repellente
31A34|gusto (uno dei cinque sensi)
31A340|'Gusto' (Ripa)
31A341|gusto gradevole contro gusto sgradevole
31A3411|gusto gradevole
31A3412|gusto sgradevole
31A342|dolce (gusto)
31A3420|rappresentazione allegorica o simbolica di dolce gusto
31A343|salato (gusto)
31A344|aspro (gusto)
31A345|amaro (gusto)
31A3450|rappresentazione allegorica o simbolica di amaro gusto
31A35|tatto (uno dei cinque sensi)
31A350|'Tatto' (Ripa)
31A351|sensazione gradevole al tatto
31A352|sensazione sgradevole al tatto
31A4|invalidità, deformazioni e mostruosità; malattie
31A41|invalidità, deformazioni
31A411|invalidità che colpiscono gli occhi
31A4111|cieco, cecità
31A41111|il cieco che guida il cieco (Matteo 15, 14)
31A41112|lo zoppo che guida il cieco
31A41113|il cieco che colpisce il maiale
31A4112|strabico; strabismo
31A4113|cataratta
31A4114|miopia
31A4115|presbiopia
31A412|sordo, sordità
31A4121|sordomuto, sordo e muto
31A413|deformazioni della testa
31A4131|labbro leporino
31A414|paralitico
31A415|zoppo
31A4151|piede deforme
31A4152|gamba di legno
31A4153|grucce
31A4154|sedia a rotelle, sedia-gabinetto, comoda
31A4155|tutore, apparecchio ortopedico
31A416|storpio
31A417|gobbo
31A418|albino
31A419|persona mutilata
31A4191|persona con un solo braccio
31A42|esseri umani (leggendari o meno) di abnormi proporzioni, dimensioni, forza, ecc.
31A421|giganti, colossi
31A422|nani
31A4221|pigmei, nani armonici
31A4222|goblins, folletti
31A4223|'grylloi'
31A423|esseri umani con poteri o proprietà sovrumane
31A423(...)|esseri umani con poteri o proprietà sovrumane (col NOME)
31A43|nascita multipla (leggendaria)
31A431|numero elevatissimo di nascite
31A431(...)|numero elevatissimo di nascite (col NUMERO)
31A44|esseri antropomorfici (leggendari o meno) con teste, membra o organi di numero abnorme, in posti anormali, o di forma anormale
31A441|esseri antropomorfi con parti mancanti
31A4411|'Acephalia', 'Blemyae', esseri senza testa
31A4412|'Scopodes', 'Sciapodes', esseri con una sola gamba
31A4413|creature con un solo occhio
31A4414|'Acheiroi', creature senza mani
31A442|esseri antropomorfi con parti in numero maggiore del normale
31A4421|essere tricipite, 'vultus trifrons'
31A44211|'caput triciput', 'signum triceps'
31A4422|esseri antropomorfi con due parti superiori del corpo
31A443|esseri antropomorfi con membra, organi, ecc. in posti anormali
31A4431|'oculi in humeris habentes'
31A444|esseri antropomorfi con parti di forma anormale
31A4441|capigliatura in eccesso
31A44411|selvaggio
31A44412|persona con barba di grandi dimensioni
31A45|mostri di forma mista umana ed animale; 'Mostri' (Ripa)
31A451|mostri di forma mista umana ed animale ~ animali in generale (di genere imprecisato)
31A4511|mostri con testa di animale
31A45111|mostri con tre teste di animale
31A4512|animali con testa umana
31A4512(...)|animali con testa umana (col NOME)
31A452|mostri ~ mammiferi
31A4521|mostri ~ animali domestici
31A45211|cinocefalo
31A4522|mostri ~ scimmie
31A4523|mostri ~ animali predatori (sfinge, 'manticora')
31A45231|sfinge (leone/donna); 'Sfinge' (Ripa)
31A45232|'manticora'
31A4524|mostri ~ ungulati
31A4525|mostri ~ proboscidati
31A4526|mostri ~ roditori
31A4527|mostri ~ mammiferi acquatici
31A4528|mostri ~ mammiferi volatili
31A4529|mostri ~ altri mammiferi
31A453|mostri ~ uccelli
31A4531|sirena, uccello favoloso con testa di donna
31A454|mostri ~ rettili
31A4541|mostri ~ lacertidi
31A4542|mostri ~ serpenti
31A455|mostri ~ anfibi
31A456|mostri ~ pesci
31A4561|tritone
31A457|mostri ~ invertebrati
31A458|esseri favolosi con ali
31A4581|fata
31A4582|elfo
31A46|malattie, infermità
31A461|sofferenza, dolore
31A4611|febbre
31A46110|'Febre' (Ripa)
31A462|malattie che colpiscono l'intero corpo
31A462(...)|malattie che colpiscono l'intero corpo (col NOME)
31A4621|peste
31A46210|personificazione della peste
31A4622|lebbra
31A46221|sonaglio del lebbroso
31A46222|lebbrosario
31A46223|processione di lebbrosi
31A4623|(altre) malattie contagiose
31A4623(...)|(altre) malattie contagiose (col NOME)
31A46230|malattia contagiosa personificata; 'Contagione' (Ripa)
31A4624|malattie della pelle e veneree
31A4624(...)|malattie della pelle e veneree (col NOME)
31A4624(SYPHILIS)|malattie della pelle e veneree: sifilide
31A46241|prurito
31A46242|ulcera
31A4625|idropisia
31A4626|aids
31A4629|avvelenamento
31A4629(...)|avvelenamento (col NOME)
31A4629(ERGOTISM)|avvelenamento: ergotismo
31A463|malattie che colpiscono parti del corpo
31A463(...)|malattie o infermità che colpiscono parti del corpo (col NOME)
31A4631|fratture delle ossa
31A4632|infezioni e ferite
31A46321|cicatrice
31A4633|malattie o infermità della testa o di parti della testa
31A46331|mal di testa
31A46332|raffreddore (malattia)
31A463321|starnutire
31A463322|tossire
31A46333|mal di denti
31A4634|tumori
31A46341|tumori esterni, visibili
31A46342|tumori interni
31A464|disturbi emotivi, alienazione mentale, pazzia
31A4640|Pazzia
31A4641|possessione, essere invasato (da demoni)
31A4642|mania, ossessione
31A46421|ossessione contagiosa
31A464211|mania del ballo, ballo di San Vito
31A469|salute
31A4690|Salute, 'Sanitas'; 'Sanitas' (Ripa)
31A5|cura del corpo, igiene
31A51|far toletta
31A511|specchio
31A5111|guardarsi allo specchio; (forse: contemplare la propria bellezza)
31A51111|riflettersi; immagine riflessa (in uno specchio)
31A511111|distorsione
31A5112|abbellimento magico
31A512|indossare gioielli
31A513|truccare, truccarsi
31A514|usare essenze, profumi, olii, ecc.
31A5141|essenze
31A5141(...)|essenze (col NOME)
31A5142|profumi
31A5142(...)|profumi (col NOME)
31A5143|olii
31A5144|cipria ~ far toletta
31A5145|strumenti ~ far toletta
31A5145(...)|strumenti ~ far toletta (col NOME)
31A51451|pomander, sfera di muschio
31A51452|boccetta di profumo
31A51453|vaso d'unguento
31A51454|scatola per cipria
31A51455|rossetto per labbra
31A515|pittura del corpo o del volto
31A5151|tatuare
31A51511|tatuaggio
31A52|cura delle mani e dei piedi
31A521|manicure
31A522|pedicure
31A523|'Spinario', ragazzo che si toglie una spina dal piede
31A53|pettinatura
31A531|cura dei capelli
31A5311|pettine, spazzola e altri strumenti (cura dei capelli)
31A532|tagliare i capelli
31A5321|parrucchiere
31A533|stili di pettinature
31A533(...)|stili di pettinature (col NOME)
31A5331|parrucca
31A5332|testa rasata
31A5333|tonsura
31A5334|ciocca di capelli
31A5339|calvizie
31A534|barba
31A5341|baffi
31A5342|basette
31A53421|bassette
31A5349|barba o baffi finti
31A535|barbiere, negozio del barbiere
31A5351|rasoio
31A5352|catino del barbiere
31A5353|fare la barba
31A53531|farsi la barba
31A539|capelli arruffati
31A54|lavarsi e bagnarsi
31A541|lavarsi le mani
31A542|lavarsi il viso e la testa
31A5421|lavarsi i denti
31A54211|spazzolino da denti
31A54212|stuzzicadenti
31A543|lavarsi i piedi
31A544|lavare i piedi di un'altra persona
31A545|fare un bagno
31A5451|bagni pubblici
31A5452|semicupio
31A5453|doccia
31A5454|tinozza per il bagno
31A5455|bagno a vapore
31A5459|'après le bain'
31A546|articoli da toletta ~ lavarsi e bagnarsi
31A5461|sapone
31A54611|bolla di sapone
31A5462|spazzola, spugna, ecc. (articoli da toletta)
31A5463|asciugamano
31A5464|accappatoio, vestaglia
31A549|asciugare, essere asciugato
31A55|vestire e spogliare
31A551|vestirsi
31A5511|allacciare un corsetto
31A552|spogliarsi
31A553|calzare (allacciare) o togliere (slacciare) sandali o scarpe
31A5531|mettere o togliere calze
31A554|vestire un'altra persona
31A5541|svestire, spogliare un'altra persona
31A559|persona parzialmente vestita
31A5591|négligé
31A56|servitore
31A57|togliere insetti dal corpo
31A571|'cure materne', spidocchiare
31A572|cercare pulci, spulciare
31A58|body-building
31A59|l'assenza d'igiene, sporcizia
31A6|bisogni fisici
31A61|minzione
31A611|vaso da notte
31A62|defecazione
31A621|flatulenza
31A622|digestione
31A6220|'Digestione' (Ripa)
31A623|faeces, escrementi
31A63|vomitare
31A631|singhiozzo
31A64|soffiarsi il naso
31A65|sputare
31A651|sputo, saliva
31A66|sudore, traspirazione
31A7|i sessi (essere umano)
31A71|maschio; uomo
31A710|simboli di virilità
31A711|mascolinità
31A712|gare di bellezza per uomini; gare di body-building
31A7121|Mr Universo
31A719|uomo effeminato, debole; cocco di mamma, pulcino bagnato
31A7191|uomo che fa lavori da donna
31A72|femmina; donna
31A720|simboli di femminilità
31A721|femminilità
31A7211|verginità
31A72110|'Verginità' (Ripa)
31A722|gare di bellezza per donne
31A7221|Miss Mondo
31A729|'virago', donna-uomo, donna mascolina
31A73|ermafrodito, androgino
31A731|rebis, il divino ermafrodito, riunione tra spirito e materia ~ alchimia
31A74|transgender, transessuale
31A8|il corpo visto come una macchina
31A9|modi presunti di guarire o migliorare parti del corpo
31AA|la figura umana (nuda); 'Corpo humano' (Ripa) - AA - figura umana femminile
31AA1|canone, proporzioni - AA - figura umana femminile
31AA11|figura in piedi (canone, proporzioni) - AA - figura umana femminile
31AA12|figura nel cerchio o quadrato, gambe e braccia alzate o tese lateralmente - AA - figura umana femminile
31AA13|altri sistemi o canoni - AA - figura umana femminile
31AA14|figura umana di proporzioni ideali, p.es. nudo accademico - AA - figura umana femminile
31AA140|rappresentazione allegorica della figura umana di proporzioni ideali - AA - figura umana femminile di proporzioni ideali; 'Bellezza feminile' (Ripa)
31AA141|nudo con genitali coperti - AA - figura umana femminile
31AA19|'homo Platonis', 'animal bipes implume' - AA - figura umana femminile
31AA2|anatomia (non-sanitaria) - AA - figura umana femminile
31AA21|scheletro (umano) - AA - figura umana femminile
31AA211|teschio (umano) - AA - figura umana femminile
31AA2111|mandibola (umana) - AA - figura umana femminile
31AA2112|denti - AA - figura umana femminile
31AA21121|denti anteriori - AA - figura umana femminile
31AA21122|denti posteriori, molari - AA - figura umana femminile
31AA212|torace - AA - figura umana femminile
31AA2121|costole - AA - figura umana femminile
