2|Natur
23G4|Blumen- oder Früchtestilleben, die eine bestimmte Jahreszeit darstellen (bei der Einteilung des Jahres in vier Jahreszeiten)
23G41|Stilleben, die den Winter darstellen (bei der Einteilung des Jahres in vier Jahreszeiten)
23G42|Stilleben, die den Frühling darstellen (bei der Einteilung des Jahres in vier Jahreszeiten)
23G43|Stilleben, die den Sommer darstellen (bei der Einteilung des Jahres in vier Jahreszeiten)
23G44|Stilleben, die den Herbst darstellen (bei der Einteilung des Jahres in vier Jahreszeiten)
23G5|Blumen- oder Früchtestilleben, die eine bestimmte Jahreszeit darstellen (bei der Einteilung des Jahres in fünf Jahreszeiten)
23G6|Blumen- oder Früchtestilleben, die eine bestimmte Jahreszeit darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G61|Blumen- oder Früchtestilleben, die eine bestimmte Jahreszeit darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten: erste Serie)
23G611|Blumen- oder Früchtestilleben, die die Monate Januar und Februar darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G612|Blumen- oder Früchtestilleben, die die Monate März und April darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G613|Blumen- oder Früchtestilleben, die die Monate Mai und Juni darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G614|Blumen- oder Früchtestilleben, die die Monate Juli und August darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G615|Blumen- oder Früchtestilleben, die die Monate September und Oktober darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G616|Blumen- oder Früchtestilleben, die die Monate November und Dezember darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G62|Blumen- oder Früchtestilleben, die eine bestimmte Jahreszeit darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten: zweite Serie)
23G621|Blumen- oder Früchtestilleben, die die Monate Dezember und Januar darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G622|Blumen- oder Früchtestilleben, die die Monate Februar und März darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G623|Blumen- oder Früchtestilleben, die die Monate April und Mai darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G624|Blumen- oder Früchtestilleben, die die Monate Juni und Juli darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G625|Blumen- oder Früchtestilleben, die die Monate August und September darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23G626|Blumen- oder Früchtestilleben, die die Monate Oktober und November darstellen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H|andere Konzepte (als Personifikationen, menschliche Tätigkeiten, Landschaften oder Stilleben), die die Jahreszeiten darstellen bzw. bezeichnen (z.B. biblische Szenen)
23H2|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in zwei Jahreszeiten)
23H21|andere Konzepte (z.B. biblische Szenen), die das Winterhalbjahr darstellen bzw. bezeichnen (bei der Einteilung des Jahres in zwei Jahreszeiten)
23H22|andere Konzepte (z.B. biblische Szenen), die das Sommerhalbjahr darstellen bzw. bezeichnen (bei der Einteilung des Jahres in zwei Jahreszeiten)
23H23|andere Konzepte (z.B. biblische Szenen), die den Kampf zwischen Sommer und Winter darstellen bzw. bezeichnen (bei der Einteilung des Jahres in zwei Jahreszeiten)
23H3|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H31|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten: erste Serie)
23H311|andere Konzepte (z.B. biblische Szenen), die die Monate Januar bis April darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H312|andere Konzepte (z.B. biblische Szenen), die die Monate Mai bis August darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H313|andere Konzepte (z.B. biblische Szenen), die die Monate September bis Dezember darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H32|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten: zweite Serie)
23H321|andere Konzepte (z.B. biblische Szenen), die die Monate Dezember bis März darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H322|andere Konzepte (z.B. biblische Szenen), die die Monate April bis Juli darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H323|andere Konzepte (z.B. biblische Szenen), die die Monate August bis November darstellen bzw. bezeichnen (bei der Einteilung des Jahres in drei Jahreszeiten)
23H4|andere Konzepte (z.B. biblische Szenen), die die vier Jahreszeiten darstellen bzw. bezeichnen
23H41|andere Konzepte (z.B. biblische Szenen), die den Winter darstellen bzw. bezeichnen (bei der Einteilung des Jahres in vier Jahreszeiten)
23H42|andere Konzepte (z.B. biblische Szenen), die den Frühling darstellen bzw. bezeichnen (bei der Einteilung des Jahres in vier Jahreszeiten)
23H43|andere Konzepte (z.B. biblische Szenen), die den Sommer darstellen bzw. bezeichnen (bei der Einteilung des Jahres in vier Jahreszeiten)
23H44|andere Konzepte (z.B. biblische Szenen), die den Herbst darstellen bzw. bezeichnen (bei der Einteilung des Jahres in vier Jahreszeiten)
23H5|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in fünf Jahreszeiten)
23H6|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H61|andere Konzepte (z.B. biblische Szenen), die die Jahreszeiten darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten: erste Serie)
23H611|andere Konzepte (z.B. biblische Szenen), die die Monate Januar und Februar darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H612|andere Konzepte (z.B. biblische Szenen), die die Monate März und April darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H613|andere Konzepte (z.B. biblische Szenen), die die Monate Mai und Juni darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H614|andere Konzepte (z.B. biblische Szenen), die die Monate Juli und August darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H615|andere Konzepte (z.B. biblische Szenen), die die Monate September und Oktober darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
23H616|andere Konzepte (z.B. biblische Szenen), die die Monate November und Dezember darstellen bzw. bezeichnen (bei der Einteilung des Jahres in sechs Jahreszeiten)
