4|Gesellschaft, Zivilisation, Kultur
46A132|Dorfbewohner, Dörfler
46A139|Hanswurst, Possenreißer, Schalksnarr (allgemein)
46A14|Bauern
46A141|Kampf zwischen Bauern und Soldaten
46A15|die Armen
46A151|Bettler
46A1511|Bettelschale
46A1512|Bettlerprozession
46A152|fahrende Leute, Vaganten
46A153|Bambochades; Bambocciade
46A154|üblicherweise verachtete Berufe; sogenannte unehrliche Leute
46A155|Ausgestoßene, Parias
46A16|die Reichen
46A161|Reichtümer erlangen
46A1611|Schatzsuche, Goldrausch
46A1612|nach einem Schatz graben; einen Schatz finden
46A162|Zurschaustellung von Reichtum
46A1621|Juwelen zur Schau stellen etc.
46A1622|Wertsachen austeilen, unter die Leute streuen
46A1623|über den eigenen Reichtum nachsinnen
46A163|Schutz, Bewachung von Wertsachen
46A1631|Depot (für Wertsachen)
46A16311|einen Schatz verstecken, verbergen, vergraben
46A1632|Geldtruhe, Schatztruhe, Sparbüchse
46A16321|Safe, Geldschrank, Tresor
46A1633|Bewachung von Reichtümern
46A16331|Bewachung von Reichtümern durch Wächter
46A16332|Bewachung von Reichtümern durch Tiere
46A16333|Bewachung von Reichtümern durch technische Mittel
46A164|die oberen Zehntausend
46A165|Jet-Set
46A166|Parvenu; nouveau riche; Emporkömmling
46A17|die Arbeiterklasse, Arbeiter
46A170|Arbeit (Allegorie, Personifikation)
46A171|Arbeitgeber und Arbeitnehmer
46A1711|ein Arbeitssuchender fragt nach Arbeit
46A172|Steuern bezahlen
46A1721|ein Arbeiter wehrt sich gegen seine Bezahlung
46A1722|ein Arbeitgeber weigert sich, Steuern zu zahlen
46A173|Arbeiter gehen zur Arbeit
46A174|Arbeiter kehren heim
46A175|Kinderarbeit
46A179|Arbeitslosigkeit
46A1791|arbeitslose Arbeiter
46A18|Sklaverei; Leibeigene, versklavte Personen, Zwangsarbeiter
46A180|Ripa: Servitù, Servitù per forza
46A181|Sklavenhandel
46A1811|Herkunftsland oder -region der versklavten Person
46A1811(...)|Herkunftsland oder -region der versklavten Person (mit NAMEN)
46A1812|Zielland oder -region der versklavten Person
46A1812(...)|Zielland oder -region der versklavten Person (mit NAMEN)
46A182|Sklavenhalter
46A183|Befreiung aus der Sklaverei
46A1831|Sklavenbefreiung
46A1832|Freikauf von Sklaven
46A1833|Flucht, Fluchtversuche von Sklaven
46A1834|Abschaffung der Sklaverei; Bekämpfung der Sklaverei
46A2|soziale Gegensätze
46A21|Gegensatz zwischen Arm und Reich
46A211|der böse Reiche; der gute Arme
46A212|Almosen geben; andere Formen der Barmherzigkeit, z.B.: Lebensmittel ausgeben
46A2120|Ripa: Elemosina
46A213|Philantrop
46A22|Gegensatz zwischen Stadtleben und Landleben; Stadtbewohner vs. Landbewohner
46A221|städtisches Leben
46A2211|Städter, Stadtbewohner
46A2219|Entvölkerung von Städten
46A222|ländliches Leben
46A2221|Landbewohner
46A22219|Entvölkerung des ländlichen Raumes
46A23|Kontrast zwischen übergeordneten und untergeordneten Leuten; der Untergebene vor dem Vorgesetzten, der Machtlose vor dem Mächtigen
46A231|der Protegé vor dem Patron
46A24|Verhältnis zwischen Herr und Knecht, Arbeitgeber und Untergebenen
46A241|zwei Herren dienen
46A3|öffentliche Fürsorge
46A31|Waisenhaus
46A311|Findelhaus
46A32|Pflege der Alten
46A321|Altersheim
46A3211|Armenhaus (niederländisch: hofje)
46A33|barmherzige Werke
46A4|Beziehungen zwischen den Rassen
46A41|Rassendiskriminierung, Rassentrennung
46A42|Feindschaft zwischen den Rassen
46A421|Rassenkrawalle
46A422|Ku Klux Klan und ähnliche Organisationen
46A49|Antirassismus; Rassenintegration
46A5|sprachliche Kommunikation
46A51|Versuch, sich verständlich zu machen (sprachliche Kommunikation)
46A511|Mißverständnis
46A52|Dolmetscher
46A53|Übersetzer
46A54|Kommunikation mit Tauben und/oder Stummen
46A541|Lippenlesen
46A542|Zeichensprache
46A55|künstliche Sprache
46A551|Esperanto
46A6|Gesellschaften, Direktorien, Gremien, Ausschüsse etc.
46A61|Vorsitzender oder Kurator eines Gremiums oder Ausschusses
46A611|Präsident
46A612|Sekretär (einer Gesellschaft)
46A613|Schatzmeister
46A614|Mitglieder eines Gremiums oder Ausschusses
46A62|Mitglied, Mitgliedschaft
46A621|Mitglied werden
46A6211|abstimmen
46A6212|Aufnahme, Einführung eines neuen Mitglieds in eine Gesellschaft
46A629|Ausschluß (aus einer Gesellschaft)
46A63|Treffen, Versammlung
46A631|das Treffen eröffnen
46A632|Ansprache, Gespräch, Vortrag (Treffen, Versammlung)
46A633|Debatte, Diskussion (Treffen, Versammlung)
46A634|Unterbrechung, Fragen (Treffen, Versammlung)
46A635|Wahl (Treffen, Versammlung)
46A636|Chaos, ungeordnete Prozedur (Treffen, Versammlung)
46A637|eine Versammlung beenden
46A638|Versammlungsraum
46A7|Menge, Mob
46A71|Individuum vs. Masse
46A8|ungewöhnliche Lebensformen
46A81|umherziehende Gemeinschaften
46A81(...)|umherziehende Gemeinschaften (mit NAMEN)
46A81(GIPSIES)|umherziehende Gemeinschaften: Zigeuner
46A81(NOMADS)|umherziehende Gemeinschaften: Nomaden
46A811|umherziehende Gemeinschaften, die in Zelten wohnen
46A812|umherziehende Gemeinschaften, die in Wohnwagen leben
46A813|umherziehende Gemeinschaften, die in Booten leben
46A82|idealistische Gemeinschaften (Zurück zur Natur!)
46A821|Gemeinschaften, Gruppen
46A821(...)|Gemeinschaften, Gruppen (mit NAMEN)
46A8211|gleichmäßiges Teilen aller Güter
46A822|Naturisten
46A823|Nudisten
46A83|einsames Leben
46A831|allein auf einer unbewohnten Insel leben; Robinsonade
46A84|Siedler, Leben im Grenzgebiet
46A841|Wilder Westen
46A85|Abenteurer
46A9|einfache, archaische Sozialstruktur
46A91|Matriarchat
46A92|Patriarchat
46A93|Clans, Stammesgemeinschaften
46AA122|Wappenschild, heraldisches Symbol - AA - weiblich
46AA122(...)|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich
46AA122(...)1|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Wappen
46AA122(...)2|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Helmzier
46AA122(...)3|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Devise, Motto
46AA122(...)4|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Imprese, Bilddevise
46AA122(...)5|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Banner
46AA122(...)6|Wappenschild, heraldisches Symbol (mit NAMEN der Familie) - AA - weiblich - Siegel
46AA126|die Neun Heldinnen
46AA1261|Esther (als eine der Neun Heldinnen)
46AA1262|Judith (als eine der Neun Heldinnen)
46AA1263|Jael (als eine der Neun Heldinnen)
46AA1264|Lucretia (als eine der Neun Heldinnen)
46AA1265|Veturia, Mutter des Coriolan (als eine der Neun Heldinnen)
46AA1266|Virginia (als eine der Neun Heldinnen)
46AA1267|die hl. Helena (als eine der Neun Heldinnen)
46AA1268|die hl. Birgitta von Schweden (als eine der Neun Heldinnen)
46AA1269|die hl. Elisabeth von Thüringen (als eine der Neun Heldinnen)
46AA127|berühmte Männer, Helden; homines illustres, uomini famosi - AA - berühmte Frauen, Heldinnen; femmes célèbres, les neuf preuses
46AA14|Bauern - AA - Bäuerin, Bauersfrau
46AA17|die Arbeiterklasse, Arbeiter - AA - Frauen
46AA170|Arbeit (Allegorie, Personifikation) - AA - Frauen
46AA171|Arbeitgeber und Arbeitnehmer - AA - Frauen
46AA1711|ein Arbeitssuchender fragt nach Arbeit - AA - Frauen
46AA172|Steuern bezahlen - AA - Frauen
46AA1721|ein Arbeiter wehrt sich gegen seine Bezahlung - AA - Frauen
46AA1722|ein Arbeitgeber weigert sich, Steuern zu zahlen - AA - Frauen
46AA173|Arbeiter gehen zur Arbeit - AA - Frauen
46AA174|Arbeiter kehren heim - AA - Frauen
46AA175|Kinderarbeit - AA - Frauen
46AA179|Arbeitslosigkeit - AA - Frauen
46AA1791|arbeitslose Arbeiter - AA - Frauen
46AA24|Verhältnis zwischen Herr und Knecht, Arbeitgeber und Untergebenen - AA - schlechtes Verhältnis
46AA241|zwei Herren dienen - AA - schlechtes Verhältnis
46AA61|Vorsitzender oder Kurator eines Gremiums oder Ausschusses - AA - Vorsitzende oder Kuratorin eines Gremiums oder Ausschusses
46AA611|Präsident - AA - Vorsitzende oder Kuratorin eines Gremiums oder Ausschusses
46AA612|Sekretär (einer Gesellschaft) - AA - Vorsitzende oder Kuratorin eines Gremiums oder Ausschusses
46AA613|Schatzmeister - AA - Vorsitzende oder Kuratorin eines Gremiums oder Ausschusses
46AA614|Mitglieder eines Gremiums oder Ausschusses - AA - Vorsitzende oder Kuratorin eines Gremiums oder Ausschusses
46AA63|Treffen, Versammlung - AA - im Freien
46AA631|das Treffen eröffnen - AA - im Freien
46AA632|Ansprache, Gespräch, Vortrag (Treffen, Versammlung) - AA - im Freien
46AA633|Debatte, Diskussion (Treffen, Versammlung) - AA - im Freien
46AA634|Unterbrechung, Fragen (Treffen, Versammlung) - AA - im Freien
46AA635|Wahl (Treffen, Versammlung) - AA - im Freien
46AA636|Chaos, ungeordnete Prozedur (Treffen, Versammlung) - AA - im Freien
46AA637|eine Versammlung beenden - AA - im Freien
46AA638|Versammlungsraum - AA - im Freien
46B|Handel und Finanzwesen
46B0|Allegorie; Ripa: Commertio della vita humana
46B1|Örtlichkeiten für den Handel
46B11|Markt
46B111|Marktstand, Marktbude
46B112|Markthalle
46B12|(jährliche) Messe, Handelsmesse
46B13|Laden, Geschäft
46B131|Warenhaus, Supermarkt
46B132|Schaufenster
46B133|Ladentisch
46B14|Stadtwaage
46B15|Großhandelshaus
46B16|Auktion, Versteigerung
46B17|Börse
46B18|Gewerbeschau, Handelsmesse, Industriemesse
46B181|Weltausstellung
46B19|Modemesse
46B2|Händler, Gewerbetreibende, Kaufleute
46B21|Kaufmann, Händler, Verkäufer
46B21(...)|Kaufmann, Händler, Verkäufer (mit NAME des Berufs)
46B22|fahrende Händler
46B221|Straßenhändler
46B221(...)|Straßenhändler (mit NAME des Berufs)
46B2211|Marktschreier (cris de Paris; Marktschreier von London etc.)
46B222|Hausierer
46B23|Handelsreisender
46B24|Ladenbesitzer
46B241|Ladenverkäufer
46B25|zum Markt gehen
46B26|vom Markt zurückkehren
46B27|Kunde
46B271|zufriedener Kunde
46B272|ein Kunde beschwert sich
46B3|Hilfsmittel und Methoden in Handel und Finanzwesen
46B31|Geld
46B310|Ripa: Pecunia
46B311|Münze
46B3111|Münzmarke, Notgeld
46B312|Banknote, Geldschein
46B313|Geld in anderen Formen, z.B. Edelmetallbarren, Perlen etc.
46B314|Scheck, Wechsel
46B3140|Scheck (allegorisch); Ripa: Cambio, Wissel
46B32|Verwaltung von Handel und Finanzwesen
46B321|Buchhaltung; Buchhalter
46B3211|Geschäftsbuch, Kontogegenbuch
46B322|Büro (Verwaltung von Ökonomie und Finanzwesen)
46B33|wiegen
46B331|Instrumente zum Wiegen
46B3311|Waage (mit Waagschalen)
46B3312|Gewicht (für eine Waage)
46B332|Gold oder Geld wiegen
46B34|Raummessung
46B341|Raummaß, Kapazitätsmaß
46B35|Werbung, Reklame
46B351|mündliche Werbung, Reklame
46B352|Handzettel
46B3521|Broschüre
46B353|Plakat
46B3531|Anschlagbrett, Reklamefläche
46B3532|Litfaßsäule, Plakatsäule
46B3533|Sandwichman (Werbeläufer mit Brust- und Rückenplakat)
46B354|Firmenschild
46B355|Warenzeichen, Fabrikmarke
46B356|Werbung, (Werbe-)Anzeige
46B4|Geschäfte; Abwicklung von Geschäften
46B41|kaufen und verkaufen
46B411|kaufen
46B412|verkaufen
46B413|Tausch
46B414|mieten, pachten
46B42|Handelsware überprüfen, untersuchen
46B43|handeln, feilschen
46B44|zahlen (für Waren; hier auch Rückzahlung von Schulden etc.)
46B45|Schulden, Kredite
46B451|Schulden
46B4510|Ripa: Debito
46B4511|Schuldschein, Bürgschaft
46B452|Kredit
46B4520|Ripa: Credito
46B46|Kaufvertrag
46B47|Gewinn und Verlust
46B471|Gewinn, Profit (Ökonomie)
46B4711|Beteiligung, Anteil (Ökonomie)
46B472|Verlust (Ökonomie)
46B48|Spekulation in Handel und Finanzwesen, Börsenspekulation
46B481|Hausse, Boom
46B49|Import und Export
46B491|Import
46B492|Export
46B493|Handelsreise
46B494|Handelsgesellschaft
46B4941|Handelsschiffahrt, Seehandel
46B5|Organisation von Handel und Finanzwesen
46B51|Handel mit Geld
46B511|Geldwechsler
46B512|Geldverleiher, Wucherer
46B5120|Ripa: Usura
46B513|Pfandleiher
46B52|Börse, Börsenhandel
46B521|Börsenbericht
46B53|Bank
46B531|Bankier
46B54|Giro, Kontowesen
46B55|Versicherung
46B551|Versicherungsagent
46B56|Organisation von Geschäftsleuten
46B561|Kaufmannsgilde
46B562|Handelskammer
46B57|Trust, Kartell, Monopol
46B6|Dumping
46B61|Ausverkauf, Räumungsverkauf
46B7|Wirtschaftsspionage
46B8|Boykott
46B9|negative und unerwünschte Aspekte von Ökonomie und Finanzwesen
46B91|Betrug, Betrügerei
46B910|Ripa: Acquisto cattivo
46B911|Bestechung
46B92|Bankrott
46B921|Gerichtsdiener
46B93|Depression, Baisse
46B931|Kurssturz, Börsenpanik, Crash
46B932|Inflation
46BB2|Händler, Gewerbetreibende, Kaufleute - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB21|Kaufmann, Händler, Verkäufer - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB21(...)|Kaufmann, Händler, Verkäufer (mit NAME des Berufs) - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB22|fahrende Händler - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB221|Straßenhändler - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB221(...)|Straßenhändler (mit NAME des Berufs) - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB2211|Marktschreier (cris de Paris; Marktschreier von London etc.) - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB222|Hausierer - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB23|Handelsreisender - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB24|Ladenbesitzer - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB241|Ladenverkäufer - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB25|zum Markt gehen - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB26|vom Markt zurückkehren - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB27|Kunde - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB271|zufriedener Kunde - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46BB272|ein Kunde beschwert sich - BB - Händlerinnen, weibliche Gewerbetreibende, Kaufleute
46C|Verkehr und Transportwesen
46C1|Verkehr auf dem Land
46C11|Landstraße, Weg, Pfad
46C111|Furt
46C1111|einen Fluß überqueren
46C1112|Fähre, Fährschiff
46C1113|auf Steine treten (beim Überqueren eines Flusses)
46C112|Brücke
46C1121|Konstruktion von Brücken
46C11211|Hängebrücke
46C11212|Auslegerbrücke
46C11213|Klappbrücke
46C1122|Brückenformen
46C11221|Brücke mit Anbauten, z.B. eine Überdachung oder Gebäude
46C113|Viadukt
46C114|unterirdisch geführte Straße, Tunnel
46C115|Regelung des Verkehrs (Zeichen, Ampeln etc.)
46C1151|Verkehrszeichen
46C1152|Postendienst eines Verkehrspolizisten
46C1153|Ampeln
46C1159|Verkehrsstau
46C116|Straßenkreuzung, Straßengabelung
46C1160|Straßenkreuzung, Straßengabelung (allegorische oder symbolische Darstellung)
46C1161|Wegweiser
46C1162|Meilenstein
46C117|Straßenkreuz
46C118|andere Formen von Straßen oder Wegen
46C1181|Treppenflucht
46C12|Körperkraft (bei Verkehr und Transportwesen auf dem Land)
46C121|etwas tragen
46C1211|etwas in einer Tasche, in einem Korb oder Rucksack etc. tragen
46C1212|etwas mit einem Joch tragen
46C1213|etwas mit einer Tragestange tragen
46C1214|etwas mit einer Trage tragen
46C1215|etwas auf dem Kopf oder auf den Schultern tragen
46C122|Schubkarren
46C123|Handkarre
46C124|Rikscha
46C125|Fahrrad, Zweirad
46C1251|altertümliche Formen eines Fahrrades
46C1251(...)|altertümliche Formen eines Fahrrades
46C1252|Dreirad, dreirädriges Fahrzeug
46C12521|dreirädriges Fahrzeug
46C1253|Einrad, einrädriges Fahrzeug
46C1254|Tandem
46C1257|andere Formen eines Fahrrads, Zweirads
46C1257(...)|andere Formen eines Fahrrads, Zweirads (mit NAMEN)
46C1258|Teile, Beiwerk eines Fahrrads, Zweirads
46C1258(...)|Teile, Beiwerk eines Fahrrads (mit NAMEN)
46C126|ungewöhnliche Transportmittel
46C1261|Stelzen
46C127|eine Person tragen
46C1271|eine Person auf dem Rücken tragen
46C1272|eine Person auf einer (Trag-)Bahre tragen
46C1273|eine Person in einer Sänfte tragen
46C128|Menschen ziehen oder schieben ein Fahrzeug, das in der Regel nicht von menschlicher Arbeitskraft angetrieben wird
46C13|Reittiere; Lasttiere
46C131|auf einem Pferd, Esel oder Maultier reiten; Reiter(in)
46C1311|Reitschule, Manege
46C13111|hohe Reitschule
46C13112|Reiterspiel
46C1312|Reiterstandbild als Staatsporträt
46C1313|Reiterstandbild
46C1314|Pferde und verwandte Tiere
46C13141|Pferd
46C13141(...)|Pferd (mit NAMEN der Rasse)
46C131411|Kampfpferde
46C13142|Esel
46C13143|Maultier
46C13144|Maulesel
46C1315|Gestüt
46C1316|satteln und das Zaumzeug anlegen
46C13161|Sattel und Zaumzeug (Sattelzeug)
46C131611|Stirnriemen (Zaumzeug)
46C131612|Gebiß (Zaumzeug)
46C131613|Zügel
46C131614|Sattel
46C1316141|gedeckter Sattel oder Sitz auf dem Rücken eines Reittieres
46C131615|Steigbügel
46C131616|Scheuklappen
46C131617|Pferdedecke
46C1317|pflegen
46C13171|Pfleger
46C13172|Striegel
46C1318|Fortbewegungsarten von Pferden
46C13181|im Schritt gehen lassen (Pferd)
46C13182|traben (Pferd)
46C13183|galoppieren (Pferd)
46C13184|springen (Pferd)
46C13185|sich aufbäumen (Pferd)
46C13186|treten (Pferd)
46C13187|ein Pferd am Zügel führen; der Reiter befindet sich neben dem Pferd
46C1319|Reitunfall
46C13191|durchgehen, wegrennen (Pferd)
46C13192|das Pferd wirft den Reiter ab
46C13193|ein Pferd wird von wilden Tieren angegriffen
46C132|auf einem anderen Tier reiten (keinem Pferd, Esel oder Maultier)
46C133|Lasttier, Tragtier
46C14|Transport mit Hilfe von Tieren; mit Tieren bespannte Fahrzeuge (Kutsche etc.)
46C141|einspannen, anspannen (Zugtiere)
46C1411|Geschirr (von Zugtieren)
46C14111|Joch
46C14112|andere Bestandteile des Geschirrs (von Zugtieren)
46C1412|nicht eingespannte Tiere neben dem Wagen
46C1413|ausspannen (Zugtier)
46C142|zweirädriger, von Tieren gezogener Wagen
46C1421|zweirädriger, von einem Tier gezogener Wagen
46C1422|zweirädriger, von zwei Tieren gezogener Wagen
46C1423|zweirädriger, von drei Tieren gezogener Wagen
46C1424|zweirädriger, von mehr als drei Tieren gezogener Wagen
46C14241|Quadriga
46C143|dreirädriger, von Tieren gezogener Wagen
46C1431|dreirädriger, von einem Tier gezogener Wagen
46C1432|dreirädriger, von zwei Tieren gezogener Wagen
46C1433|dreirädriger, von drei Tieren gezogener Wagen
46C1434|dreirädriger, von mehr als drei Tieren gezogener Wagen
46C144|vierrädriger, von Tieren gezogener Wagen; z.B.: Kutsche
46C1441|vierrädriger, von einem Tier gezogener Wagen
46C1442|vierrädriger, von zwei Tieren gezogener Wagen
46C1443|vierrädriger, von drei Tieren gezogener Wagen
46C1444|vierrädriger, von mehr als drei Tieren gezogener Wagen
46C1444(...)|vierrädriger, von mehr als drei Tieren gezogener Wagen (mit ANZAHL der Tiere)
46C145|Fuhrwerk, Frachtwagen, Frachtkarren
46C1451|Planwagen
46C146|ein Reit- oder Zugtier anspornen
46C1461|Stachelstock
46C1462|Sporn
46C1463|Peitsche
46C147|Postwagen, Postkutsche, Omnibus, Pferdebahn
46C148|Tierschlitten
46C149|Unfall mit einem von Tieren gezogenen Wagen
46C1491|durchgehende Zugtiere
46C1492|Unfall mit einem zweirädrigen, von Tieren gezogenen Wagen
46C14921|Unfall mit einem zweirädrigen, von einem Tier gezogenen Wagen
46C14922|Unfall mit einem zweirädrigen, von zwei Tieren gezogenen Wagen
46C14923|Unfall mit einem zweirädrigen, von drei Tieren gezogenen Wagen
46C14924|Unfall mit einem zweirädrigen, von mehr als drei Tieren gezogenen Wagen
46C149241|Unfall mit einer Quadriga
46C1493|Unfall mit einem dreirädrigen, von Tieren gezogenen Wagen
46C14931|Unfall mit einem dreirädrigen, von einem Tier gezogenen Wagen
46C14932|Unfall mit einem dreirädrigen, von zwei Tieren gezogenen Wagen
46C14933|Unfall mit einem dreirädrigen, von drei Tieren gezogenen Wagen
46C14934|Unfall mit einem dreirädrigen, von mehr als drei Tieren gezogenen Wagen
46C1494|Unfall mit einem vierrädrigen, von Tieren gezogenen Wagen; z.B.: Kutsche
46C14941|Unfall mit einem vierrädrigen, von einem Tier gezogenen Wagen
46C14942|Unfall mit einem vierrädrigen, von zwei Tieren gezogenen Wagen
46C14943|Unfall mit einem vierrädrigen, von drei Tieren gezogenen Wagen
46C14944|Unfall mit einem vierrädrigen, von mehr als drei Tieren gezogenen Wagen
46C14944(...)|Unfall mit einem vierrädrigen, von mehr als drei Tieren gezogenen Wagen
46C1495|Unfall mit einem Fuhrwerk, Frachtwagen, Frachtkarren
46C1496|Unfall beim Anspornen eines Reit- oder Zugtieres
46C14961|Unfall (in Verbindung mit einem Stachelstock)
46C14962|Unfall (in Verbindung mit einem Sporn)
46C14963|Unfall (in Verbindung mit einer Peitsche)
46C1497|Unfall mit einem Postwagen, Omnibus, mit einer Postkutsche, Pferdebahn
46C1498|Unfall mit einem Tierschlitten
46C15|Eisenbahnverkehr
46C151|Eisenbahn, Straßenbahn; Zahnradbahn
46C1511|(Eisenbahn-)Zug
46C15111|Güterzug
46C15112|Personenzug
46C1512|Straßenbahn
46C15121|Straßenbahn(zug)
46C1513|Zahnradbahn
46C152|Lokomotive
46C1521|Dampflokomotive
46C1522|Diesellokomotive
46C1523|elektrische Lokomotive
46C1529|andere Typen von Lokomotiven
46C1529(...)|andere Typen von Lokomotiven (mit NAMEN des Typs)
46C153|Eisenbahnwaggon, Eisenbahnwagen
46C1531|Personenwagen
46C1532|Güterwagen
46C154|Signalsystem (Eisenbahn, Straßenbahn)
46C1541|Signalhäuschen, Stellwerk, Signalstation (Eisenbahn, Straßenbahn)
46C1542|unbeschrankter Bahnübergang (Eisenbahn, Straßenbahn)
46C1543|beschrankter Bahnübergang (Eisenbahn, Straßenbahn)
46C1544|Signal (Eisenbahn, Straßenbahn)
46C155|Bahnhof, Haltestelle (Eisenbahn, Straßenbahn)
46C1551|Bahnsteig (Eisenbahn, Straßenbahn)
46C1552|Wartesaal (Eisenbahn, Straßenbahn)
46C1559|andere Gebäude, Einrichtungen (Eisenbahn, Straßenbahn)
46C15591|Depot (Eisenbahn, Straßenbahn)
46C156|Untergrundbahn, Metro
46C1561|U-Bahn-Station
46C157|eingleisig (Eisenbahn, Straßenbahn)
46C158|Schwebebahn
46C1581|Seilbahn
46C159|Eisenbahnunglück
46C1591|Unfall mit der Eisenbahn, Straßenbahn, Zahnradbahn
46C1592|Unfall mit einer Lokomotive
46C1593|Unfall mit einem Eisenbahnwagen, Eisenbahnwaggon
46C1594|Unfall (in Verbindung mit dem Signalsystem der Eisenbahn, Straßenbahn)
46C15941|Unfall (in Verbindung mit dem Signalhäuschen, Stellwerk, mit der Signalstation)
46C15942|Unfall an einem unbeschrankten Bahnübergang
46C15943|Unfall an einem beschrankten Bahnübergang
46C1595|Unfall in einem Bahnhof, an einer Haltestelle
46C1596|Unfall mit einer Untergrundbahn
46C15961|Unfall in einer U-Bahn-Station
46C1597|Unfall auf einer eingleisigen Strecke
46C1598|Unfall mit einer Schwebebahn
46C15981|Unfall mit einer Seilbahn
46C16|motorisierter Straßenverkehr
46C161|Auto, Automobil
46C1611|dreirädriges Auto
46C162|Autobus, Reisebus
46C163|Lastauto, Lastwagen, Truck
46C164|Amphibienfahrzeug
46C165|Motorräder und andere zweirädrige Motorfahrzeuge
46C166|andere, oben nicht erwähnte Motorfahrzeuge
46C1661|Traktor, Trecker
46C167|Bestandteile, Beiwerk eines Motorfahrzeugs
46C1671|Bestandteile eines Motorfahrzeugs
46C1671(...)|Bestandteile eines Motorfahrzeugs (mit NAMEN)
46C168|Instandhaltung, Reparatur von Motorfahrzeugen
46C1681|Kundendienst am Auto
46C16811|Tankstelle
46C16812|KFZ-Werkstatt, Ersatzteillager etc.
46C16813|Autowäsche; Waschanlage für Autos
46C1682|Parkmöglichkeiten (für Autos)
46C16821|Parkplatz, Wagenpark
46C16822|Parkhaus, Tiefgarage
46C16823|Parkuhr
46C168231|Parkplatzwächter, Politesse
46C169|Unfall mit einem Motorfahrzeug
46C1691|Autounfall
46C16911|Unfall mit einem dreirädrigen Motorfahrzeug
46C1692|Unfall mit einem Autobus, Reisebus
46C1693|Unfall mit einem Lastauto, Lastwagen, Truck
46C1694|Unfall mit einem Amphibienfahrzeug
46C1695|Unfall mit einem Motorrad oder anderen zweirädrigen Motorfahrzeugen
46C17|Segelwagen
46C18|Fortbewegung auf Schnee und Eis (kein Sport)
46C181|Schlitten, Lastschlitten (als Transportmittel)
46C1811|Pferdeschlitten
46C1812|Hundeschlitten
46C1813|Renntierschlitten
46C1814|Schlitten, der von Stechern angetrieben wird
46C182|Schneeschuhe
46C183|Eissegler, Segelschlitten
46C189|Unfall auf Schnee oder Eis
46C19|Rad (eines Fahrzeugs)
46C191|Radnabe
46C1911|Kugellager (eines Rades)
46C192|Speichen
46C193|(Luft-)Reifen
46C1931|Schlauch (eines Reifens)
46C1939|Reifenspur
46C199|Radspur
46C2|Verkehr auf dem Wasser
46C20|Ripa: Navigatione
46C21|Schiffe (generell)
46C211|Schiffswerft, Schiffsdock
46C212|reparieren, kalfatern, kielholen (Schiff)
46C2121|Trockendock, Schwimmdock
46C213|Schiffsmodell
46C2131|Flaschenschiff
46C214|Porträt eines Schiffes
46C215|Bestandteile des Äußeren eines Schiffes
46C215(...)|Bestandteile des Äußeren eines Schiffes (mit NAMEN)
46C215(ANCHOR)|Bestandteile des Äußeren eines Schiffes: Anker
46C215(BOW)|Bestandteile des Äußeren eines Schiffes: Bug
46C215(FIGURE-HEAD)|Bestandteile des Äußeren eines Schiffes: Bugfigur
46C215(MAST)|Bestandteile des Äußeren eines Schiffes: Mast
46C215(RUDDER)|Bestandteile des Äußeren eines Schiffes: Ruder, Steuer
46C215(WINDLASS)|Bestandteile des Äußeren eines Schiffes: Ankerwinde
46C216|Bestandteile des Inneren eines Schiffes
46C216(...)|Bestandteile des Inneren eines Schiffes (mit NAMEN)
46C219|improvisierter und ungewöhnlicher Verkehr auf dem Wasser
46C22|anlegen, im Hafen ankern
46C221|ein Schiff unterwegs in den Hafen
46C222|ein Schiff auf der Reede
46C223|Hafen
46C2231|Pier, Kai, Ladeplatz
46C2232|Hafenboje, Poller
46C2233|Laufplanke
46C2234|Ausrüstung eines Hafens
46C22341|Schiffskran
46C2235|Lagerhaus (Hafen)
46C2236|Bootsschuppen
46C2237|Schiffe bzw. Boote, die auf den Strand gezogen worden sind
46C23|Boot, das durch menschliche oder tierische Kraft angetrieben wird
