4|Gesellschaft, Zivilisation, Kultur
41A731|Schrank
41A732|verzierter Schrank
41A733|Truhe, Kasten, Kiste
41A734|Cassone
41A735|Schloß ~ Möbel
41A7351|Schlüssel ~ Möbel
41A7352|Riegel ~ Möbel
41A7353|Vorhängeschloß ~ Möbel
41A74|Möbel für speziellen Gebrauch
41A741|Wandschirm, spanische Wand, Klappschirm
41A75|Ziermöbel
41A751|Paravent, Zierschirm
41A76|Liegemöbel
41A761|Bett
41A7611|eingebaute Bettstatt (niederländisch: bedstee)
41A7612|Himmelbett
41A76121|ein Bett auf zwei Pfosten
41A76122|ein Bett auf vier Pfosten
41A762|Hängematte
41A763|Bettzeug
41A7631|Matratze
41A7632|(Kopf-)Kissen
41A7633|Leintuch, Bettlaken
41A7634|(wollene) Bettdecke
41A7635|(Feder-)Bettdecke
41A77|Behälter
41A771|Behälter aus Metall: Eimer, Büchse, Kanister, Trommel, Dose, etc.
41A7711|Behälter aus Edelmetall
41A77111|
41A772|Behälter aus Stein: Steinvase
41A7721|Behälter aus (Halb-)Edelsteinen
41A773|Behälter aus Keramik: Gefäß, Krug, Topf, Vase
41A774|Behälter aus Glas: Flasche, Gefäß, Vase
41A775|Behälter aus Holz: Faß, Tonne
41A7751|Behälter aus pflanzlichen Materialien (außer Holz): Korb
41A776|Behälter aus Leder: Ledertasche
41A7761|Behälter aus anderen tierischen Materialien
41A777|Behälter aus Textilfasern: Tasche, Beutel, Sack, Netz
41A778|Behälter aus Papier, Pappe: Tüte, Karton, Schachtel
41A779|Behälter aus synthetischem Material
41A78|Modeartikel, Trödelkram, Nippes
41A8|Bezug eines Hauses
41A81|ein Haus ausstatten, einrichten, möblieren
41A82|umziehen, ausziehen, einziehen
41A9|Ruine eines Wohnhauses, Schlosses oder einer Burg
41AA1|Profanarchitektur; Gebäude; Wohnräume - AA - Profanarchitektur. Innenräume
41AA10|Ripa: Edifitio overo un sito - AA - Profanarchitektur. Innenräume
41AA11|Palast - AA - Profanarchitektur. Innenräume
41AA111|Hôtel (als kleiner Stadtpalast) - AA - Profanarchitektur. Innenräume
41AA12|Burg, Schloß - AA - Profanarchitektur. Innenräume
41AA121|befestigtes Stadthaus - AA - Profanarchitektur. Innenräume
41AA13|Gebäude, z.B. öffentliches Gebäude, Warenhaus - AA - Profanarchitektur. Innenräume
41AA14|Wohnen in der Stadt - AA - Profanarchitektur. Innenräume
41AA141|das gewöhnliche Haus, die Häuserzeile - AA - Profanarchitektur. Innenräume
41AA142|Haus in Kombination mit einem Laden bzw. Geschäft - AA - Profanarchitektur. Innenräume
