2|nature
23L22|May
23L23|June
23L31|July
23L32|August
23L33|September
23L41|October
23L42|November
23L43|December
23M|flower
23M|fruit
23M|month
23M|still life
23M|twelve
23M11|January
23M12|February
23M13|March
23M21|April
23M22|May
23M23|June
23M31|July
23M32|August
23M33|September
23M41|October
23M42|November
23M43|December
23N|month
23N|twelve
23N11|January
23N12|February
23N13|March
23N21|April
23N22|May
23N23|June
23N31|July
23N32|August
23N33|September
23N41|October
23N42|November
23N43|December
23O|sign
23O|twelve
23O|zodiac
23O1|winter
23O11|Capricorn
23O11|December
23O12|Aquarius
23O12|January
23O13|February
23O13|Pisces
23O2|spring
23O21|Aries
23O21|March
23O22|April
23O22|Taurus
23O23|Gemini
23O23|May
23O3|summer
23O31|Cancer
23O31|June
23O32|July
23O32|Leo
23O33|August
23O33|Virgo
23O4|autumn
23O41|Libra
23O41|September
23O42|October
23O42|Scorpio
23O43|November
23O43|Sagittarius
23O5|astrology
23P|week
23Q|day
23Q|seven
23Q1|Sunday
23Q2|Monday
23Q3|Tuesday
23Q4|Wednesday
23Q5|Thursday
23Q6|Friday
23Q7|Saturday
23Q8|tomorrow
23R1|day
23R1|natural day
23R1|twenty-four
23R10|Carro del giorno naturale
23R10|Giorno naturale
23R10|Ripa
23R11|morning
23R110|Aurora
23R110|Ripa
23R110|personification
23R111|Aurora
23R111|landscape
23R113|noon
23R12|afternoon
23R120|Meridies
23R120|personification
23R121|Meridies
23R121|landscape
23R13|evening
23R130|Vesper
23R130|personification
23R131|Vesper
23R131|landscape
23R14|night
23R140|Carro della notte
23R140|Notte
23R140|Nox
23R140|Ripa
23R140|Serenità della notte
23R140|personification
23R141|Nox
23R141|landscape
23R2|day
23R20|Carro del giorno artificiale
23R20|Giorno artificiale
23R20|Ripa
23R20|Serenità del giorno
23R3|hours
23R3|twenty-four
23R31|twelve
23R310|Hore del giorno
23R310|Ripa
23R310|hour
23R32|twelve
23R320|Hore della notte
23R320|Ripa
23R320|hour
23S|empire
23S|world
23S1|four
23S11|Babylon
23S12|Persia
23S13|Greece
23S14|Rome
23S2|bible
23S21|Daniel
23S21|Nebuchadnezzar
23S21|dream
23S21|large
23S21|statue
23S22|Daniel
23S22|beast
23S22|four
23S22|vision
23T|epoch
23T|history
23T1|bible
23T1|seven
23T11|Adam
23T11|Noah
23T12|Abraham
23T12|Moses
23T12|Noah
23T13|Abraham
23T13|David
23T13|Moses
23T14|Babylonian Captivity
23T14|David
23T15|Babylonian Captivity
23T15|Christ
23T16|Christ
23T16|end
23T16|labour
23T16|wake
23T17|Christ
23T17|Heavenly Jerusalem
23T17|Sabbath
23T17|end
23T17|resting
23T17|sleeping
23T21|prehistory
23T22|ancient history
23T23|classical antiquity
23T24|dark ages
23T25|medieval history
23T25|middle ages
23T26|Renaissance
23T27|century
23U|chronology
23U1|almanac
23U1|calendar
23U11|perpetuity
23U2|chronometry
23U2|instrument
23U2|measuring
23U20|Horografia
23U20|Ripa
23U21|sundial
23U22|hourglass
23U23|water-clock
23U24|clock
23U241|clockmaker
23U241|watch-maker
23U25|watch (clock)
24|celestial bodies
24|heaven
240|allegory
24A|sun
24A1|sunrise
24A11|dawn
24A110|Crepuscolo della matina
24A110|Ripa
24A2|sunset
24A21|dusk
24A21|evening
24A210|Crepuscolo della sera
24A210|Ripa
24A3|eclipse
24A31|corona
24A4|midnight sun
24A5|physical phenomena
24A51|spot
24A51|sun-spots
24A52|halo
24A52|mock sun
24A52|parhelion
24A52|phenomena
24A52|spot
24A6|face
24A6|wheel
24A7|position
24A71|midsummer's day
24A71|solstice
24A71|summer solstice
24A710|Ripa
24A710|Solstitio estivo
24A72|autumnal equinox
24A72|equinox
24A720|Equinottio dell'autunno
24A720|Ripa
24A73|solstice
24A73|winter solstice
24A730|Ripa
24A730|Solstitio hiemale
24A74|equinox
24A74|spring
24A74|vernal equinox
24A740|Equinottio della primavera
24A740|Ripa
24A8|light
24A8|sunlight
24A81|ray of light
24B|moon
24B1|crescent moon
24B1|waxing moon
24B11|face
24B2|full moon
24B21|face
24B3|crescent moon
24B3|waning moon
24B31|face
24B4|eclipse
24B5|landscape
24B5|moonscape
24B6|light
24B6|moonlight
24B61|moonbeam
24B61|ray of light
24B62|contemplation
24B62|schwärmen
24B7|moonrise
24B8|moonset
24C|planet
24C1|solar system
24C1|system
24C11|Ceres
24C12|Jupiter
24C13|Mars
24C14|Mercury
24C15|Neptune
24C16|Pluto
24C17|Saturn
24C18|Uranus
24C19|Venus
24C191|morning star
24C191|star
24C192|evening star
24C192|star
24C2|Planetenkinder
24C2|influence
24C2|moon
24C2|sun
24C21|child
24C21|personification
24C211|Saturn
24C212|Jupiter
24C213|Mars
24C214|Sol
24C215|Venus
24C216|Mercury
24C217|Luna
24C22|personification
24C22|zodiac
24C221|Aquarius
24C221|Capricorn
24C221|Saturn
24C222|Jupiter
24C222|Pisces
24C222|Sagittarius
24C223|Aries
24C223|Mars
24C223|Scorpio
24C224|Leo
24C224|Sol
24C225|Libra
24C225|Taurus
24C225|Venus
24C226|Gemini
24C226|Mercury
24C226|Virgo
24C227|Cancer
24C227|Luna
24C3|metal
24C3|symbol
24C31|gold
24C31|sun
24C32|moon
24C32|silver
24C33|mercury
24C34|Venus
24C34|copper
24C35|Mars
24C35|iron
24C36|Jupiter
24C36|tin
24C37|Saturn
24C37|lead
24C39(URANUS)|Uranus
24C39(URANUS)|platinum
24D|star
24D0|allegory
24D0|symbol
24D1|constellation
24D1(ORION)|Orion
24D1(POLARIS)|North star
24D1(POLARIS)|Polaris
24D1(POLARIS)|Pole star
24D1(POLARIS)|north
24D1(SIRIUS)|Sirius
24D2|galaxy
24D21|Milky Way
24D211|Hercules
24D211|Juno
24D211|genesis
24D211|milk
24D211|suckling
24D4|galaxy
24E|astronomy
24E|phenomena
24E1|comet
24E10|Cometa
24E10|Ripa
24E2|meteor
24E3|meteorites
24F|firmament
24F|sky
24F1|contemplation
24F2|star
24G|sphere
24G1|empyrean
25|earth
25|world
250|Machina del mondo
250|Mondo
250|Ripa
25A|atlas
25A|map
25A1|world map
25A11|circle
25A11|shape
25A11|square (shape)
25A111|centre of the world
25A111|omphalos
25A1111|Jerusalem
25A1112|Delphi
25A13|globe
25A131|icosahedron
25A14|direction
25A14|four
25A141|north
25A1410|Ripa
25A1410|Settentrione
25A142|east
25A1420|Oriente
25A1420|Ripa
25A1421|orientation
25A143|south
25A1430|Mezzodì
25A1430|Ripa
25A144|west
25A1440|Occidente
25A1440|Ripa
25A15|latitude
25A15|longitude
25A1511|equator
25A1512|Cancer
25A1512|Capricorn
25A1512|tropic
25A1521|meridian
25A2|continent
25A21|Europe
25A22|Asia
25A23|Eurasia
25A24|Africa
25A25|America
25A251|North America
25A252|South America
25A26|Australia
25A27|polar regions
25A271|North Pole
25A272|South Pole
25A3|country
25A3|region
25A4|city
25A5|chart
25A5|sea-map
25A9|cartography
25A90|Corografia
25A90|Geografia
25A90|Hidrografia
25A90|Ripa
25A90|geography
25A91|geodesy
25A91|surveying
25A910|Altimetria
25A910|Ripa
25A911|instrument
25A911|measuring
25A911|surveying instrument
25A9111|Jacob's staff
25A9111|staff
25B|continent
25B1|Europa
25B1|Europe
25B1|Ripa
25B2|Asia
25B2|Ripa
25B3|Africa
25B3|Ripa
25B4|America
25B4|Ripa
25B5|Australia
25B6|polar regions
25B61|North Pole
25B62|South Pole
25C|geology
25C|phenomena
25C1|volcanism
25C11|eruption
25C11|volcano
25C111|lava
25C112|ash cloud
25C12|volcano
25C13|geyser
25C13|heat
25C13|spring (source)
25C13|steam
25C14|brimstone
25C14|fumes
25C15|damage
25C15|earthquake
25C15|effect
25C150|Ripa
25C150|Terremoto
25C16|genesis
25C16|mountain
25C17|genesis
25C17|island
25C19|extinct
25C19|volcano
25C192|lava
25C2|magnetism
25C2|terrestrial magnetism
25C21|compass
25C211|compass card
25D1|rock
25D11|precious stone
25D11(ALMANDINE)|almandine
25D11(AMETHYST)|amethyst
