2|自然
25II|城市景觀，带有建筑物的风景 - II - 理想化的風景
25II1|一般性的城市景觀; 'veduta' - II - 理想化的城市
25II10|理想化的城市 : Use 25 II 1 - II - 理想化的城市
25II11|城市的締造 - II - 理想化的城市
25II111|城市的締造者 - II - 理想化的城市
25II12|城市全景, 市鎮全景, 城市剪影 - II - 理想化的城市
25II13|公共園林, 公園 - II - 理想化的城市
25II14|公路 - II - 理想化的城市
25II141|街道 - II - 理想化的城市
25II1411|巷 - II - 理想化的城市
25II1412|通道 - II - 理想化的城市
25II1413|有坡度的街道; 有台階的街道 - II - 理想化的城市
25II142|大道, 大街, 散步道 - II - 理想化的城市
25II143|沿岸碼頭 - II - 理想化的城市
25II144|廣場,等等 - II - 理想化的城市
25II145|運河, 水道 (城市裡的) - II - 理想化的城市
25II1451|城裡河道,運河等上面的橋樑 - II - 理想化的城市
25II14511|城裡帶有建築物,如店鋪,住房的橋樑,如佛羅倫薩的老橋(Ponte Vecchio) - II - 理想化的城市
25II146|城牆 - II - 理想化的城市
25II1461|城門 - II - 理想化的城市
25II15|紀念性建築物 (城市裡的) - II - 理想化的城市
25II151|裝飾性噴泉 - II - 理想化的城市
25II152|紀念碑, 塑像 - II - 理想化的城市
25II153|方尖碑 - II - 理想化的城市
25II154|有螺旋帶狀裝飾的凱旋柱 - II - 理想化的城市
25II155|塔, 鐘塔 ~ 紀念性建築物 - II - 理想化的城市
25II16|公共廁所 - II - 理想化的城市
25II17|城市地下建築 - II - 理想化的城市
25II171|下水道 - II - 理想化的城市
25II18|市郊 - II - 理想化的城市
25II19|大都市 - II - 理想化的城市
25II2|村莊 - II - 理想化的風景
25II21|村莊的締造 - II - 理想化的風景
25II22|村莊全景, 村莊剪影 - II - 理想化的風景
25II24|村裡公路 - II - 理想化的風景
25II241|村裡街道 - II - 理想化的風景
25II2411|村裡巷道 - II - 理想化的風景
25II242|村裡大道 - II - 理想化的風景
25II244|村裡廣場 - II - 理想化的風景
25II245|(村裡的)運河,河道 - II - 理想化的風景
25II2451|村裡河道,運河等上面的橋樑 - II - 理想化的風景
25II246|村莊的寨牆 - II - 理想化的風景
25II2461|村莊的寨門 - II - 理想化的風景
25II25|紀念性建築物 (村裡的) - II - 理想化的風景
25II251|裝飾性噴泉 (村裡的) - II - 理想化的風景
25II28|村邊,村外 - II - 理想化的風景
25II3|有農場或孤立住所的風景 - II - 理想化的風景
25II4|有工廠和作坊的風景 - II - 理想化的風景
25II41|有風車磨坊的風景 - II - 理想化的風景
25II42|有水車磨坊的風景 - II - 理想化的風景
25II43|有工場的風景 - II - 理想化的風景
25II5|有塔或城堡的風景 - II - 理想化的風景
25II6|有橋,高架橋或渡槽的風景 - II - 理想化的風景
25II7|有紀念性建築的風景 - II - 理想化的風景
25II71|有史前巨石柱的風景 - II - 理想化的風景
25II8|有以上未提及的建築物的風景,如墓地,遊樂場等等 - II - 理想化的風景
25II9|有廢墟的風景 - II - 理想化的風景
25K|在非溫帶的風景，西方視角下'異國情調的風景'...
25K1|熱帶和亞熱帶地區的風景
25K11|山 (熱帶和亞熱帶地區的)
25K12|峽谷 (熱帶和亞熱帶地區的)
25K121|山谷(熱帶和亞熱帶地區的)
25K13|海岸 (熱帶和亞熱帶地區的)
25K14|島嶼 (熱帶和亞熱帶地區的)
25K141|珊瑚島
25K142|珊瑚礁
25K15|叢林
25K16|沙漠
25K161|沙漠綠洲
25K162|河谷(阿拉伯語的), 沙漠中乾枯的河床
25K17|乾草原, 曠野
25K18|耕地 (熱帶和亞熱帶地區的)
25K181|水稻田(東南亞的)
25K182|種植園
25K19|沼澤 (熱帶和亞熱帶地區的)
25K2|極地的風景 
25K21|山 (極地的)
25K211|冰山 (極地的)
25K22|峽谷 (極地的)
25K221|山谷 (極地的)
25K23|海岸 (極地的)
25K24|海島 (極地的)
25K241|浮冰島
25K25|凍原, 植被之地
25K26|冰原
25K3|異國情調
25KK|熱帶和亞熱帶地區的風景,異國情調的風景 - KK - 理想化的風景
25KK1|熱帶和亞熱帶地區的風景 - KK - 理想化的風景
25KK11|山 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK12|峽谷 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK121|山谷 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK13|海岸 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK14|島嶼 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK141|珊瑚島 - KK - 理想化的風景
25KK142|珊瑚礁 - KK - 理想化的風景
25KK15|叢林 - KK - 理想化的風景
25KK16|沙漠 - KK - 理想化的風景
25KK161|沙漠綠洲 - KK - 理想化的風景
25KK162|河谷(阿拉伯語的), 沙漠中乾枯的河床 - KK - 理想化的風景
25KK17|乾草原, 曠野 - KK - 理想化的風景
25KK18|耕地 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK181|水稻田(東南亞的) - KK - 理想化的風景
25KK182|種植園 - KK - 理想化的風景
25KK19|沼澤 (熱帶和亞熱帶地區的) - KK - 理想化的風景
25KK2|極地的風景 - KK - 理想化的風景
25KK21|山 (極地的) - KK - 理想化的風景
25KK211|冰山 (極地的) - KK - 理想化的風景
25KK22|峽谷 (極地的) - KK - 理想化的風景
25KK221|山谷 (極地的) - KK - 理想化的風景
25KK23|海岸 (極地的) - KK - 理想化的風景
25KK24|島嶼 (極地的) - KK - 理想化的風景
25KK241|浮冰島 - KK - 理想化的風景
25KK25|凍原, 植被之地 - KK - 理想化的風景
25KK26|冰原 - KK - 理想化的風景
25KK3|異國情調 - KK - 理想化的異國情調
25L|被人格寓言化的或象徵性表現的城市
25L(...)|作為人格寓言的或象徵的城市 (名稱)
25L(...)0|作為人格寓言的或象徵的城市 (名稱) - 人格化的城市, 城鎮的守護人(男性或女性)
25L(...)1|作為人格寓言的或象徵的城市 (名稱) - 象徵性表現的城市
25L(...)11|作為人格寓言的或象徵的城市 (名稱) - 城市皇冠
25L(ROME)|作為人格寓言的或象徵的城市: 羅馬
25L(ROME)0|作為人格寓言的或象徵的城市: 羅馬 - 人格化的城市, 城鎮的守護人(男性或女性)
25L(ROME)1|作為人格寓言的或象徵的城市: 羅馬 - 象徵性表現的城市
25L(ROME)11|作為人格寓言的或象徵的城市: 羅馬 - 城市皇冠
25L0|人格化的城市, 城鎮的守護人(男性或女性)
25L1|被象徵性地表現的城市
25L11|城市皇冠, 城牆皇冠
25M|世界七大奇觀
25M1|埃及金字塔 (世界七大奇觀)
25M2|巴比倫賽米勒米斯女王的空中花園 (世界七大奇觀)
25M3|以弗所的阿提米絲神廟 (世界七大奇觀)
25M4|菲迪亞斯製作的宙斯雕像 (世界七大奇觀)
25M5|哈利卡納蘇斯陵墓 (世界七大奇觀)
25M6|羅得島的巨像 (世界七大奇觀)
25M7|亞歷山大里亞法羅斯島的燈塔 (世界七大奇觀)
25M8|有時被當作世界奇觀的其它巨跡
25M8(...)|有時被當作世界奇觀的其它巨跡 (名稱)
25N|虛構的國度
25N(...)|虛構的國度 (名稱)
25N(ATLANTIS)|虛構的國度: 大西島
25N1|安樂鄉,世外桃源
26|气象
26A|雲
26A1|高空雲層 
26A11|卷雲 (高空雲層)
26A12|卷層雲
26A2|中高度雲層
26A21|卷積雲,如鯖魚雲
26A22|高積雲
26A23|高層雲
26A3|低空雲層
26A31|層積雲
26A32|雨雲
26A4|低空雲層以及由於上升氣流產生的雲
26A41|晴天積雲
26A42|積雨雲, 即雷雨雲
26A5|散布均勻垂掛的霧uniformly spread high-hanging haze
26A51|層雲stratus
26B|雨
26B0|'Pioggia, ninfa dell'aria' (Ripa)
26B1|霧,靄
26B2|虹
26B20|'Iride, ninfa dell'aria' (Ripa)
26B3|露 
26B30|'Rugiada, ninfa dell'aria' (Ripa)
26B4|傾盆大雨
26B9|乾旱
26C|風
26C0|'Venti' (Ripa)
26C1|按不同分法的風
26C11|四個主要方向的風
26C111|北風 (四個主要方向的風)
26C112|東風 (四個主要方向的風)
26C113|南風 (四個主要方向的風)
26C114|西風 (四個主要方向的風)
26C12|分成八個方向的風
26C121|北風, 'Aquilo', 'Boreas', 'Septentrionarius' (八個方向的風之一)
26C122|東北風, 'Kaikias' (Caecias) (八個方向的風之一)
26C123|東風, 'Subsolanus' (八個方向的風之一)
26C124|東南風, 'Eurus', 'Volturnus'; 'Euro' (Ripa) (八個方向的風之一)
26C125|南風, 'Auster', 'Notus' (八個方向的風之一)
26C126|西南風, 'Africus' (八個方向的風之一)
26C127|西風, 'Favonius', 'Zephirus' (八個方向的風之一)
26C128|西北風, 'Iapyx', 'Caurus' (八個方向的風之一)
26C13|分成十六個方向的風
26C131|十六個方向的風, 從北到南, 順時針
26C1311|北風 (N) (十六個方向的風之一)
26C1312|北-東北風 (NNE) (十六個方向的風之一)
26C1313|東北風 (NE) (十六個方向的風之一)
26C1314|東-東北風 (ENE) (十六個方向的風之一)
26C1315|東風 (E) (十六個方向的風之一)
26C1316|東-東南風 (ESE) (十六個方向的風之一)
26C1317|東南風 (SE) (十六個方向的風之一)
26C1318|南-東南風 (SSE) (十六個方向的風之一)
26C132|從南到北, 順時針
26C1321|南風 (S) (十六個方向的風之一)
26C1322|南-西南風 (SSW) (十六個方向的風之一)
26C1323|西南風 (SW) (十六個方向的風之一)
26C1324|西-西南風 (WSW) (十六個方向的風之一)
26C1325|西風 (W) (十六個方向的風之一)
26C1326|西-西北風 (WNW) (十六個方向的風之一)
26C1327|西北風 (NW) (十六個方向的風之一)
26C1328|北-西北風 (NNW) (十六個方向的風之一)
26C14|分成其它方向的風
26C2|按風力來分類的風
26C21|不同風力的航海術語
26C21(...)|不同風力的航海術語 (名稱)
26C22|蒲福風級
26C3|暴風
26C31|陸上暴風
26C32|海上暴風
26C33|沙塵暴
26C34|暴風雪
26C35|旋風, 氣旋風, 颶風, 台風, 龍捲風
26C351|陸上旋風, 氣旋風, 颶風, 台風, 龍捲風
26C352|海上旋風, 氣旋風, 颶風, 台風, 龍捲風
26C4|風向標
26C41|風信雞
26C42|風向袋
26C5|晴雨表,氣壓計
26C6|風像是人的臉,鼓著兩腮在吹
26C9|無風, calm
26D|霜凍，冰凍天氣
26D1|雪
26D11|雪崩
26D111|雪崩防護
26D2|冰雹
26D3|凝霜, 冰霜,白霜
26D4|冰 ~ 冰凍天氣
26D41|浮冰
26D42|冰棱,垂冰
26D5|嚴冬
26D9|解凍
26E|雷暴,雷雨
26E1|雷
26E2|閃電, 霹靂
26E21|避雷針
26E22|閃電造成的事故
26E3|其它與電有關的氣象
26E31|桅頂(塔頂等)電光
26E32|北極光, 'aurora borealis'
26F|好的和壞的天氣
26F1|好天氣
26F10|'Salubrità o purità dell'aria' (Ripa)
26F11|熱浪
26F111|中暑
26F2|壞天氣
26F21|寒流
26F22|'Pruina', 冬天的天氣
26F3|天氣產生的後果, 如乾旱後, 暴風雨前, 旋風之後
26G|海市蜃樓，“海市蜃樓”
26H|其它氣象
29|Suurealia, 超現實的再現
29A|動物像人類那樣活動
29A1|'mundus inversus', 顛倒的世界, 顛三倒四的世界, 'le monde bestourné'
29A2|植物或樹木像人類那樣活動,或與人類進行比較
29B|植物具有像人類或動物那樣的舉止
29C|器物能夠活動,如木偶
29D|自然界中石頭,木頭,雲朵等等被看成是某種東西的再現
3|人類，一般意義上的人
31|生物学意义上的人
31A|人体(裸體);'Corpo humano'(Ripa)
31A1|黃金律, 比例
31A11|站立的人體 (黃金律, 比例)
31A12|圓周或正方形裡的人體, 兩腿分開兩臂向上或兩側伸開
31A13|其它黃金律系統
31A14|人體理想的比例, 如學院式的裸體
31A140|理想比例的人體的人個化表現
31A141|遮蔽陰部的裸體
31A19|'homo Platonis', 'animal bipes implume'
31A2|人體解剖(非醫學)
31A21|骨骼
31A211|(人類) 顱骨
31A2111|牙床 (人類)
31A2112|牙齒
31A21121|門牙
31A21122|臼齒, 磨牙
31A212|胸廓
31A2121|肋骨
31A2122|脊椎骨
31A2123|鎖骨
31A2124|肩胛骨
31A213|骨盆
31A214|臂部骨頭
31A2141|肱骨,上膊骨
31A2142|橈骨和尺骨, 下膊骨
31A2143|腕骨和掌骨, 手部骨頭
31A2144|指骨
31A215|腿部骨頭
31A2151|股骨, 大腿骨
31A2152|脛骨和腓骨, 小腿骨
31A2153|踝骨和跖骨, 足部骨頭
31A2154|腳趾骨
31A216|一般意義上的骨骼 (人體)
31A22|人體的部分 (骨架除外)
31A221|頭部 (人體)
31A2211|臉部
31A22111|臉的不同部分
31A22111(...)|臉的不同部分 (名稱)
31A22111(LIPS)|臉的不同部分: 嘴唇部
31A22111(NOSE)|臉的不同部分: 鼻部
31A2212|眼部
31A22121|'imago omnia videntis'
31A2213|耳部
31A2214|口部
31A22141|舌頭
31A2215|頭部 (內部)
31A22151|腦
31A22152|鼻腔
31A22153|口腔和咽喉腔
31A222|胸部
31A2221|心
31A22210|心的象徵性
31A222101|心的非宗教象徵性 ~ 愛
31A22211|心臟的部分
31A2222|肺部, 支氣管
31A22221|呼吸
31A22222|喘氣
31A22229|窒息
31A2223|乳房
31A22231|乳頭
31A22232|含奶的乳房
31A2224|肩部
31A2225|背部
31A2226|軀幹
31A223|腹部, 肚子 (人類)
31A2231|外部方面 ~ 腹部
31A22311|肚臍
31A22312|臀部
31A2232|腺体
31A22321|肝 (人體解剖)
31A22322|膽囊
31A22323|脾
31A22324|腎
31A2233|胃
31A22331|食道
31A2234|腸
31A2235|膀胱
31A2236|性器官 (人類)
31A22361|男性性器官
31A223611|睪丸
31A223612|陰莖, 陽物
31A2236121|陽物的圖像, 'phallos'
31A223613|精液,精子
31A22362|女性性器官
31A223621|子宮
31A2236211|有胎兒的子宮
31A223622|卵巢
31A223623|月經
31A223624|陰道
31A2237|屁股, 'partes posteriores'
31A22371|肛門
31A224|上肢
31A2241|大臂
31A2242|肘
31A2243|小臂
31A2244|腕 
31A2245|手
31A22451|手印 hand-print
31A2246|手指
31A22461|拇指
31A22462|食指,索引指
31A22463|中指, 第二指
31A22464|無名指,戒指
31A22465|小指
31A2247|指甲 (手指的)
31A225|下肢
31A2251|大腿
31A2252|膝蓋
31A2253|小腿
31A2254|踝
31A2255|腳,足
31A22551|腳後跟,踵
31A22552|腳印
31A2256|腳趾
31A2257|指甲 (腳指的)
31A226|其它解剖細節
31A2261|血液循環
31A22611|血液
31A22612|動脈
31A22613|靜脈
31A2262|皮膚 (人類)
31A22621|毛髮
31A22622|體毛
31A22623|陰毛
31A2263|肌肉
31A2264|筋
31A2265|神經
31A23|人物動勢
31A231|站姿
31A2311|'contrapposto', 'Standbein und Spielbein'
31A2312|'figura serpentinata'
31A2313|單腿站立
31A2319|用頭或手支撐倒立
31A232|斜姿
31A2321|向前傾斜
31A2322|向後傾斜
31A2323|向旁邊傾斜
31A233|跪姿
31A2331|雙腿下跪
31A234|蹲和卷縮的人物
31A2341|縮成一團的人物
31A235|坐姿
31A2351|坐在地上
31A2352|坐在另一平面上
31A2353|兩臂或肘放在膝蓋上的坐姿
31A23531|(兩)手放在大腿或膝蓋上的坐姿
31A2354|坐在另一個人的腿上
31A236|臥姿
31A2361|背朝下上半身抬起的臥姿
31A2362|臉朝下臥姿
31A2363|側臥, 肢體舒展
31A2364|側臥, 上半身抬起靠在一臂膀上
31A2365|背朝下雙手在頭底下的臥姿
31A2366|臉朝下雙手在頭底下的臥姿
31A237|吊掛姿勢 (用手臂, 腿, 等等)
31A2371|用手臂吊掛
31A23711|用一隻手臂吊掛
31A2372|用腿吊掛
31A23721|用一隻腿吊掛
31A2373|用身體的其它部分吊掛
31A23731|用頭髮吊掛
31A23732|用牙齒吊掛
31A239|人物的其它動勢, 以上未提及的
31A2391|彎曲的人物
31A24|頭部的動勢
31A241|頭部直立
31A242|頭側轉
31A2421|頭向左轉
31A2422|頭向右轉
31A243|頭向後仰
31A244|頭向前彎; 鞠躬
31A245|頭向左傾斜
31A246|頭向右傾斜
31A247|回頭向後看
31A249|頭部其它動勢, 以上未提及
31A25|臂膀和手的動勢
31A251|手臂和手一般性的動勢
31A2511|手臂向上舉起
31A25111|手臂舉起,手指未展開
31A25112|手臂舉起, 手指展開
31A25113|手臂舉起, 握拳
31A2512|手臂向前舉起
31A2513|手臂向側面舉起
31A2514|手臂向後
31A2515|手臂向下
31A2516|手臂或手在身體前面
31A25161|手臂或手在胸前
31A251611|手放在胸脯上
31A25162|手放在心臟的位置上
31A25163|手捶打胸脯
31A25164|hand uncovering the chest
31A25165|雙臂交叉在腹部
31A2517|手臂或手彎在身體後面
31A25171|手臂彎在背後
31A25172|手放在頭後
31A2518|手放在臀部
31A2519|手看不見
31A25191|手放在口袋裡
31A25192|手在袖籠裡
31A25193|手在胸脯 (或胃部)上, 從服裝開口插進
31A252|雙臂和雙手彼此間的動勢
31A2521|雙臂交叉
31A25211|雙臂交叉, 在背後
31A25212|雙臂在胸前交叉
31A2522|雙手握在一起
31A25221|雙手十指交叉地握在一起
31A25222|搓手,絞扭著手
31A2523|雙手靠在一起
31A25231|雙手的指尖碰在一起
31A2524|說明觀點,用手指數數
31A2525|一隻手放在另一隻手上
31A253|手臂與頭部彼此間的動勢
31A2531|雙手伸向頭部
31A25311|'caput manui innixum', (雙)手托著頭
31A25312|(雙)手托著頭, 肘靠在一平面上或膝蓋上
31A25313|(雙)手托著頭, 用布遮住臉
31A25314|h(雙)手在頭後
31A2532|手觸摸鬍鬚
31A2533|手伸向前額
31A25331|用食指指著前額
31A25332|'cornuto', 即用食指即小指伸向前額
31A2534|(雙)手伸向(雙)眼
31A25341|把手放在眼睛上方觀看
31A25342|從手指縫中偷看
31A25343|揉眼睛
31A25344|擦眼淚
31A2535|(雙)手伸向鼻子
31A25351|捏著鼻子
31A2536|(雙)手伸向嘴巴
31A25361|用手指吹口哨
31A25362|拉嘴角
31A2537|(雙)手伸向耳朵
31A25371|把手窩起來放在耳朵後面
31A25372|撓耳朵
31A25373|蓋住耳朵
31A254|手臂與另一個人彼此間的動勢
31A2541|抓住另一個人的手臂
31A25411|挽著另一個人的胳膊行走
31A2542|按著另個人的手
31A2543|抓住另一個人的手或手腕; 握著手
31A25431|三隻或三隻以上的手握在一起, 意思是 '團結是力量'
31A25432|領著另一個人的手或手腕
31A25433|'immixtio manuum', 把握著的雙手放在另一個人的雙手裡
31A25434|兩個人拍彼此的手掌
31A2544|揪住另一個人的頭
31A25441|揪住另一個人的頭髮
31A25442|揪住另一個人的脖子
31A25443|揪住另一個人的咽喉
31A2545|揪住另一個人的肩膀
31A2546|抓住另一個人的腿
31A25461|抓住另一個人的腳
31A2549|抓住另一個人身體的其它部分
31A255|手和手指的動勢
31A2551|手的動勢
31A25511|手指彎曲
31A25512|手指伸開
31A25513|手攥成拳頭
31A2552|手掌的動勢
31A25521|掌心向上
31A25522|掌心向下
31A2553|大拇指的動勢
31A25531|大拇指向上指
31A25532|大拇指向下指
31A2554|大拇指和其它手指的動勢
31A25541|大拇指在食指上方撫摸
31A25542|大拇指在食指與中指之間
31A25543|兩指打響
31A2555|食指的動勢
31A25551|食指向上指
31A25552|食指指向, 指著, 示意
31A25553|食指向另一個人彎曲, 召喚人
31A2556|食指和中指的動勢
31A25561|食指和中指向上, 彎曲
31A25562|食指和中指向上, 伸開; V形符號
31A2559|其它手指的動勢
31A256|肢體語言
31A259|手臂和手的其它動勢見 31 A 25 1 至 31 A 25 6
31A26|腿的動勢
31A261|雙腿在同一個位置
31A2611|雙腿筆直
31A26111|雙腿筆直直立或倚靠, 腿並排, 腳平踏於地
31A26112|雙腿筆直直立或倚靠, 腿並排, 腳尖著地
31A26113|雙腿筆直坐或臥, 腿並排
31A26114|直立, 倚靠, 坐或臥姿, 雙腿分開
31A26115|臥姿,雙腿向上,分開
31A2612|雙腿彎曲
31A26121|雙腿彎曲站立, 腿並排
31A26122|雙腿彎曲坐姿, 腿並排
31A26123|蹲姿,腿並排
31A26124|雙腿彎曲, 腿並排, 膝蓋著地; 跪姿
31A26125|雙腿彎曲, 腿並排, 膝蓋靠著胸脯
31A26126|雙腿彎曲站立, 腿叉開
31A26127|雙腿彎曲坐著, 腿叉開
31A26128|坐姿或臥姿,腿彎曲或向上
31A26129|盤腿坐, 像工作種的裁縫那樣
31A261291|佛坐姿, '蓮花'式
31A262|腿在不同位置
31A2621|一隻腿在另一隻腿前面
31A26211|一隻腿在另一隻腿前面, 行走姿
31A26212|一隻腿在另一隻腿前面, 一膝蓋彎曲, 撲姿
31A26213|一隻腿彎曲,膝蓋著地, 一隻在另一隻前面
31A2622|腿向前或向後彎曲, 膝蓋或腳放在另一平面上
31A2623|單腿站立, 另一隻腿向前伸
31A26231|單腿站立, 另一隻腿向前伸, 筆直
31A262311|單腿站立, 另一隻腿向前伸, (幾乎) 水平, 正步姿, 'Hahnentritt'
31A26232|單腿站立, 另一隻腿向前伸, 彎曲
31A262321|單腿站立, 另一隻腿向前伸, 彎曲並抬起
31A262322|單腿站立, 另一隻腿向前伸, 由(雙)手握住
31A2624|單腿站立, 另一隻腿向側面伸
31A26241|單腿站立, 另一隻腿向側面伸, 筆直
31A26242|單腿站立, 另一隻腿向側面伸, 彎曲
31A2625|單腿站立, 另一隻腿向後面伸
31A26251|單腿站立, 另一隻腿向後面伸, 筆直
31A26252|單腿站立, 另一隻腿向後面伸, 彎曲
31A262521|單腿站立, 另一隻腿向後面伸, 彎曲並抬起
31A262522|單腿站立, 另一隻腿向後面伸, 由(雙)手握住
31A2626|坐或臥,一隻腿向前伸另一隻腿向上
31A2627|站,倚靠,坐或臥, 雙腿交叉
31A2628|坐姿,一隻腿的腳放在另一隻腿的膝蓋上面
31A27|人體的運動
31A271|人體向前運動
31A2711|行走
31A27111|大步走
31A27112|奔跑
31A27113|散步,游逛
31A2712|爬行, 手足並舉
31A27121|跪走
31A2713|步態蹣跚,搖搖晃晃
31A2714|跳步
31A2715|滾
31A2716|翻筋斗 (手觸碰地面)
31A2717|用手行走
31A2719|向後運動
31A272|向上向下運動
31A2721|向上蹦跳
31A2722|引體向上
31A2723|向上爬
31A2724|向下跳
31A2725|下落 descending
31A2726|踩踏, 踩在人或物上
31A273|被動運動
31A2731|跌落
31A2732|滑跤
31A27321|絆倒
31A2733|被抬起來
31A27331|被扶住
31A2734|被拖
31A2735|被扔
31A274|運動 ~ 物體
31A2741|扔某物
31A27411|釋放某物
31A27412|扔下某物
31A2742|向某物伸手
31A2743|打擊某物
31A2744|腳踢某物
31A2745|揪住某物
31A2746|損壞某物
31A2747|拖拉某物
31A2748|推某物
31A27481|轉動某物, (造成) 旋轉運動
31A275|其它運動
31A2751|卷縮 (人體運動)
31A2752|舒展 (人體運動)
31A2753|旋轉, 扭曲 (人體運動)
31A2754|手臂運動
31A2755|腿運動
31A2756|身體向後彎
31A2757|側身翻筋斗
31A276|空中運動
31A2761|上升 (空中運動)
31A2762|飛翔
31A2763|空中飄浮
31A27631|坐在或站在雲端
31A2764|從空中墜落
31A2765|翻筋斗, 'salto mortale' (空中運動)
31A277|水中運動
31A2771|涉水, 戲水
31A2772|沐浴 (水中運動)
31A2773|游泳 (水中運動)
31A2774|漂游 (水中運動)
31A2775|潛水 (水中運動)
31A2776|下沉 (水中運動)
31A2777|浮在水上 (水中運動)
31A2778|從水裡出現
31A2779|在水上行走
31A28|人和他的影子
31A281|身影賣給了魔鬼
31A2811|沒有影子的人
31A282|人追逐他的影子
31A283|人與其影子搏鬥
31A3|(五種)感覺
31A30|'Sensi', 'Sensi, come si possono rappresentare in una figura sola', 'Senso', 'Sentimenti del corpo' (Ripa)
31A31|視覺, 看 (五種感覺之一)
31A310|'Viso' (Ripa)
31A311|眼鏡
31A3111|單筒鏡
31A3112|遮太陽鏡, 黑色眼鏡
31A312|放大鏡
31A313|'figura cuncta videntis'
31A314|窺視某人
31A319|干擾視覺
31A3191|眼罩
31A32|聽覺, 聽 (五種感覺之一)
31A320|'Udito' (Ripa)
31A321|助聽器
31A329|偷聽者
31A33|嗅覺, 嗅 (五種感覺之一)
31A330|'Odorato' (Ripa)
31A331|好聞的氣味
31A332|不好聞的, 令人反感的氣味
31A34|味覺, 嚐 (五種感覺之一)
31A340|'Gusto' (Ripa)
31A341|可口與不可口的味道
31A3411|可口的味道
31A3412|不可口的味道
31A342|甜 (味覺)
31A3420|甜味, 象徵性的或人格寓言化的表現
31A343|鹹 (味覺)
31A344|酸 (味覺)
31A345|苦 (味覺)
31A3450|苦味, 象徵性的或人格寓言化的表現
31A35|觸覺 (五種感覺之一)
31A350|'Tatto' (Ripa)
31A351|舒服的觸覺
31A352|不舒服的觸覺
31A4|残疾，畸形，等等残疾，畸形和怪物;疾病
31A41|残疾，畸形
31A411|眼部殘疾
31A4111|失明,盲
31A41111|瞎子領瞎子 (馬太福音 15:14)
31A41112|跛足者引領盲人
31A41113|盲人打豬玀
31A4112|對眼; 鬥雞眼
31A4113|白內障
31A4114|近視,近視眼
31A4115|遠視,遠視眼
31A412|耳聾, 聾
31A4121|聾啞, 聾啞的
31A413|頭部畸形
31A4131|兔唇
31A414|癱瘓的
31A415|瘸的,跛足的
31A4151|畸形足
31A4152|木頭腿
31A4153|拐杖
31A4154|輪椅, 有蓬輪椅
31A4155|吊帶 brace, 卡鉗 calliper
31A416|彎腰曲背的人, 
31A417|駝背
31A418|白化病
31A419|肢體殘缺的人
31A4191|獨臂人
31A42|非正常比例,尺寸,能力等等的人(傳說中的或非傳說中的)
31A421|巨人
31A422|侏儒
31A4221|俾格米人, 小矮人
31A4222|小精怪
31A4223|'grylloi'
31A423|有超人的能力或成就的人物
31A423(...)|有超人的能力或成就的人物 (名稱)
31A43|多胎,一胎多仔 (傳說中的)
31A431|一胎巨多仔
31A431(...)|一胎巨多仔 (數量)
31A44|(傳說中的或非傳說中的)類似人類,其頭、軀幹、器官不是正常數量、形狀,不在正常位置
31A441|缺少身體某部分的類似人類
31A4411|'Acephalia', 'Blemyae', 即無首
31A4412|'Scopodes', 'Sciapodes', 即獨腿
31A4413|獨眼的類似人類
31A4414|'Acheiroi', 即無手
31A442|身體某部分數量特多的類似人類 
31A4421|有三個面部的類似人類, 'vultus trifrons'
31A44211|'caput triciput', 'signum triceps'
31A4422|有雙上肢的類似人類
31A443|四肢、器官或其它部分不在正常位置的類似人類
31A4431|'oculi in humeris habentes'
31A444|身體的部分不是正常形狀的類似人類
31A4441|超重毛髮
31A44411|野人, 森林野人
31A44412|滿臉長鬍鬚的人
31A45|半人半兽的怪物; 'Mostri'(Ripa)
31A451|怪物 ~ 一半意義上的動物 (種類為確定的)
31A4511|有動物頭部的怪物
31A45111|有動物三個頭部的怪物
31A4512|人首動物身體
31A4512(...)|人首動物身體 (名稱)
31A452|怪物 ~ 哺乳動物
31A4521|怪物 ~ 家禽
31A45211|犬面怪物
31A4522|怪物 ~ 猿, 猴
31A4523|怪物 ~ 食肉動物 (史芬克斯, 'manticora')
31A45231|史芬克斯 (獅/婦人); 'Sfinge' (Ripa)
31A45232|'manticora'
31A4524|怪物 ~ 有蹄類動物
31A4525|怪物 ~ 象鼻類動物
31A4526|怪物 ~ 囓齒目
31A4527|怪物 ~ 水栖哺乳動物
31A4528|怪物 ~ 會飛類哺乳動物
31A4529|怪物 ~ 其它 哺乳動物
31A453|怪物 ~鳥類
31A4531|海妖 (傳說中的有婦人頭部和鳥身)
31A454|怪物 ~ 爬行動物
31A4541|怪物 ~ 蜥蜴
31A4542|怪物 ~ 蛇
31A455|怪物 ~ 水陸兩棲動物
31A456|怪物 ~魚類
31A4561|雄性人魚
31A457|怪物 ~ 低級動物
31A458|傳說中有翼的怪物
31A4581|仙女,小妖精
31A4582|小精靈
31A46|疾病
31A461|疼痛
31A4611|發燒
31A46110|'Febre' (Ripa)
31A462|影響全部身體的疾病
31A462(...)|影響全部身體的疾病 (名稱)
31A4621|瘟疫
