25F39(HUMMING-BIRD)|colibrì
25F39(KINGFISHER)|martin pescatore
25F39(TURTLE DOVE)|tortora
25F39(WOODPECKER)|picchio
25F39(WRYNECK)|torcicollo
25F4|rettile
25F41|lacertidi
25F41|lucertola
25F41(CHAMELEON)|camaleonte
25F42|serpente
25F42(...)|biscia
25F42(VIPER)|vipera
25F43|coccodrillo
25F43(ALLIGATOR)|alligatore
25F44|tartaruga
25F5|anfibi
25F51|coda
25F51|mancanza
25F51(FROG)|rana
25F51(TOAD)|rospo
25F52|coda
25F6|pesce
25F61|condritti
25F61(DOGFISH)|pescecane
25F61(RAY)|razza (ittiol.)
25F61(SAWFISH)|pesce sega
25F61(SHARK)|squalo
25F62|osteitti
25F62(BARBEL)|barbio
25F62(BUTTERFISH)|butterfish
25F62(CARP)|carpa
25F62(HERRING)|aringa
25F62(HIPPOCAMPUS)|ippocampo
25F62(LUNGFISH)|dipnoo
25F62(MACKEREL)|maccarello
25F62(MULLET)|triglia
25F62(PIKE)|luccio
25F62(PILOT-FISH)|pesce pilota
25F62(RED HERRING)|aringa rossa
25F62(ROACH)|lasca
25F62(SALMON)|salmone
25F62(SARDINE)|sardina
25F62(SCARUS)|pesce pappagallo
25F62(SCARUS)|scaro
25F62(SEA-BREAM)|pagello
25F62(SEA-DEVIL)|razza
25F62(SEA-PERCH)|pesce persico
25F62(SEA-WOLF)|pesce lupo
