2|nature
24C221|Aquarius
24C221|Capricorn
24C221|Capricorne
24C221|Saturne
24C221|Verseau
24C222|Jupiter
24C222|Pisces
24C222|Poissons
24C222|Sagittaire
24C222|Sagittarius
24C223|Aries
24C223|Bélier
24C223|Mars
24C223|Scorpion
24C224|Leo
24C224|Lion
24C224|Sol (le Soleil)
24C225|Balance
24C225|Libra
24C225|Taureau
24C225|Taurus
24C225|Vénus
24C226|Gemini
24C226|Gémeaux
24C226|Mercure
24C226|Vierge
24C226|Virgo
24C227|Cancer
24C227|Lune
24C3|métal
24C3|symbole
24C31|or
24C31|soleil
24C32|argent
24C32|lune
24C33|mercure
24C34|cuivre
24C34|Vénus
24C35|fer
24C35|Mars
24C36|étain
24C36|Jupiter
24C37|plomb
24C37|Saturne
24C39(URANUS)|platine
24C39(URANUS)|Uranus
24D|étoile
24D0|allégorie
24D0|symbole
24D1|constellation
24D1(ORION)|Orion
24D1(POLARIS)|étoile polaire
24D1(POLARIS)|nord
24D1(POLARIS)|Polaris
24D1(SIRIUS)|Sirius
24D2|galaxie
24D21|Voie Lactée
24D211|Hercule
24D211|Junon
24D211|allaiter
24D211|genèse
24D211|lait
24D211|origine
24D4|Eudamidas
24D4|Grecs
24D4|Romains
24D4|antiquité classique
24D4|fable
24D4|histoire
24D4|histoire ancienne
24D4|histoire de l'antiquité classique
24D4|homme
24D4|identité
24D4|légende
24D4|mythologie
24D4|nom
24D4|personnage historique
24D4|portrait héroïque
24D4|portrait idéalisé
24D4(...)|ciel
24D4(...)|corps célestes
24D4(...)|galaxie
24D4(...)|nature
24D4(...)|étoile
24E|astronomie
24E|phénomène
24E1|comète
24E10|Cometa
24E10|Ripa
24E2|météore
24E3|météorites
24F|firmament
24F1|contemplation
24F2|étoile
24G|sphère
24G1|empyrée
25|monde
25|terre
250|Machina del mondo
250|Mondo
250|Ripa
25A|atlas
25A|carte
25A1|carte du monde
25A1|mappemonde
25A11|carré
25A11|cercle
25A11|forme
25A111|centre du monde
25A111|omphalos
25A1111|Jérusalem
25A1112|Delphes
25A13|globe
25A131|icosaèdre
25A14|direction
25A14|quatre
25A141|nord
25A1410|Ripa
25A1410|Settentrione
25A142|est
25A1420|Oriente
25A1420|Ripa
25A1421|orientation
25A143|sud
25A1430|Mezzodì
25A1430|Ripa
25A144|ouest
25A1440|Occidente
25A1440|Ripa
25A15|latitude
25A15|longitude
25A1511|équateur
25A1512|Cancer
25A1512|Capricorn
25A1512|Capricorne
25A1512|tropique
25A1521|méridien
25A2|continent
25A21|Europe
25A22|Asie
25A23|Eurasie
25A24|Afrique
25A25|Amérique
25A251|Amérique du Nord
25A252|Amérique du Sud
25A26|Australie
25A27|régions polaires
25A271|Pôle Nord
25A272|Pôle Sud
25A3|pays
25A3|région
25A4|ville
25A5|carte maritime
25A9|cartographie
25A90|Corografia
25A90|Geografia
25A90|Hidrografia
25A90|Ripa
25A90|géographie
25A91|arpentage
25A91|géodésie
25A910|Altimetria
25A910|Ripa
25A911|instrument
25A911|instrument d'arpentage
25A911|mesurer
25A9111|bâton
25A9111|bâton de Jacob
25B|continent
25B1|Europa
25B1|Europe
25B1|Ripa
25B2|Asie
25B2|Ripa
25B3|Afrique
25B3|Ripa
25B4|Amérique
25B4|Ripa
25B5|Australie
25B6|régions polaires
25B61|Pôle Nord
25B62|Pôle Sud
25C|géologie
25C|phénomène
25C1|volcanisme
25C11|volcan
25C11|éruption
25C111|lave
25C112|nuage de cendres
25C12|volcan
25C13|chaleur
25C13|geyser
25C13|source
25C13|vapeur
25C14|soufre
25C14|vapeurs
25C15|dommage
25C15|effet
25C15|tremblement de terre
25C150|Ripa
25C150|Terremoto
25C16|genèse
25C16|montagne
25C16|origine
25C17|genèse
25C17|origine
25C17|île
25C19|volcan
25C19|éteindre
25C192|lave
25C2|magnétisme
25C2|magnétisme terrestre
25C21|boussole
25C211|rose des vents
25D1|rocher
25D11|pierre précieuse
25D11(ALMANDINE)|almandin
25D11(AMETHYST)|améthyste
25D11(CHALCEDONY)|calcédoine
25D11(CHRYSOBERYL)|chrysobéryl
25D11(CHRYSOLITE)|chrysolite
25D11(CHRYSOPRASE)|chrysoprase
25D11(DIAMOND)|diamant
25D11(EMERALD)|émeraude
25D11(JASPER)|jaspe
25D11(ROCK-CRYSTAL)|cristal de roche
25D11(RUBY)|rubis
25D11(SAPPHIRE)|saphir
25D11(TOPAZ)|topaze
25D11(TURQUOISE)|turqoise
25D12|pierre
25D12(CHALK)|craie
25D12(FLINT)|silex
25D12(MARBLE)|marbre
25D12(PUMICE)|pierre ponce
25D13|mineral
25D13|métal
25D13(BITUMEN)|bitume
25D13(COPPER)|cuivre
25D13(GOLD)|or
25D13(IRON)|fer
25D13(LEAD)|plomb
25D13(MAGNETITE)|magnétite
25D13(MERCURY)|mercure
25D13(PLATINUM)|platine
25D13(SILVER)|argent
25D13(SULPHUR)|soufre
25D13(TIN)|étain
25D14|animal
25D14|plante
25D141|anthracite
25D141|charbon
25D142|charbon
25D142|lignite
25D143|ambre
25D143|fossile
25D143|résine
25D15|cristal
25D2|sol
25D211|humus
25D22|gravier
25D23|sable
25D24|argile
25D241|terreau
25D242|loess
25D25|tourbe
25D26|boue
25D26|saleté
25D29|poussière
25D3|exploiter une mine
25D31|mine
25D311|mine à ciel ouvert
25D312|galerie
25D312|puits
25D32|mineur
25D32|occupations humaines
25D321|prospecteur
25D33|bâtiment
25D33|édifice
25D34|carrière
25D35|fondre
25D35|fourneau
25D35|haut-fourneau
25D35|minerai
25D4|liquide
25D41|eau
25D41|eau minérale
25D411|guérir
25D411|médicament
25D411|source
25D421|source
25D43|huile
25D431|forer
25D4311|derrick
25D4312|plate-forme
25D4312|plate-forme de forage
25D432|pompe
25D4321|puits jaillissant
25D4321|source
25D4321|éruption
25D433|transporter
25D4331|conduites
25D4331|oléoduc
25D434|raffinerie
25D435|réservoir
25D44|bitume
25D44|naphte
25D45|gaz
25D45|sol
25D451|charbon
25D4511|usine
25D4511|usine à gaz
25D4512|gazomètre
25D4512|réservoir
25D5|glissement de terrain
25D5|géologie
25D5|mouvement
25D5|tremblement de terre
25E|chronologie
25E|géologie
25E|histoire
25E(BIG BANG)|Big Bang
25E(CENOZOIC)|Cénozoïque
25E(PALEOZOIC)|Paléozoïque
25E(PALEOZOIC)|Primaire
25E(TERTIARY)|Tertiaire
25F|animal
25F1|groupe
25F2|mammifère
25F21|groupe
25F22|singe
25F22(BABOON)|babouin
25F23|prédateur
25F23(BADGER)|blaireau
25F23(BEAR)|ours
25F23(CHEETAH)|guépard
25F23(ERMINE)|hermine
25F23(FERRET)|furet
25F23(FOX)|renard
25F23(HYENA)|hyène
25F23(ICHNEUMON)|ichneumon (mammifère)
25F23(LEOPARD)|léopard
25F23(LION)|lion
25F23(LYNX)|lynx
25F23(MANGOUSTE)|mangouste
25F23(MARTEN)|martre
25F23(OTTER)|loutre
25F23(PANTHER)|panthère
25F23(POLAR BEAR)|ours blanc
25F23(SABLE)|zibeline
25F23(TIGER)|tigre
25F23(WEASEL)|belette
25F23(WOLF)|loup
25F24|ongulé
25F24(...)|renne
25F24(ANTELOPE)|antilope
25F24(BISON)|aurochs
25F24(BISON)|bison
25F24(BISON)|bonasus
25F24(BOAR)|sanglier
25F24(CAMEL)|chameau
25F24(DEER)|biche
25F24(DROMEDARY)|dromadaire
25F24(ELK)|élan
25F24(GAZELLE)|gazelle
25F24(GIRAFFE)|girafe
25F24(GNU)|gnou
25F24(HIPPOPOTAMUS)|hippopotame
25F24(IBEX)|bouquetin
25F24(MUSK-DEER)|chevrotin
25F24(ONAGER)|onagre
25F24(ORYX)|oryx
25F24(QUAGGA)|couagga
25F24(RHINOCEROS)|rhinocéros
25F24(STAG)|cerf
25F24(ZEBRA)|zèbre
25F25|trompe (animal)
25F25(ELEPHANT)|éléphant
25F26|rongeur
25F26(BEAVER)|castor
25F26(HARE)|lièvre
25F26(MOUSE)|souris
25F26(MUSK-RAT)|rat musqué
25F26(RABBIT)|lapin
25F26(RAT)|rat
25F26(SQUIRREL)|écureil
25F26(WOMBAT)|phascolome
25F26(WOMBAT)|wombat
25F27|mammifère marin
25F27(DOLPHIN)|dauphin
25F27(SEAL)|phoque
25F27(WHALE)|baleine
25F28|mammifère volant
25F28(BAT)|chauve-souris
25F29(ARMADILLO)|tatou
25F29(HEDGEHOG)|hérisson
25F29(KANGAROO)|kangourou
25F29(MOLE)|taupe
25F29(PORCUPINE)|porc-épic
25F29(SLOTH)|paresseux
25F3|oiseau
25F31|groupe
25F32|oiseau chanteur
25F32(CROW)|corneille
25F32(FINCH)|pinson
25F32(GOLDFINCH)|chardonneret
25F32(JACKDAW)|choucas
25F32(LARK)|alouette
25F32(MAGPIE)|pie
25F32(NIGHTINGALE)|rossignol
25F32(RAVEN)|corbeau
25F32(ROBIN)|rouge-gorge
25F32(SPARROW)|moineau
25F32(STARLING)|sansonnet
25F32(STARLING)|étourneau
25F32(SWALLOW)|hirondelle
25F32(THRUSH)|grive
25F32(TIT)|mésange
25F32(WAGTAIL)|hoche-queue
25F32(WARBLER)|fauvette
25F32(WHITE THROAT)|grisette
25F32(WREN)|roitelet
25F33|oiseau de proie
25F33(EAGLE)|aigle
25F33(FALCON)|faucon
25F33(FISH-HAWK)|aigle de mer
25F33(FISH-HAWK)|aigle pêcheur
25F33(FISH-HAWK)|balbuzard pêcheur
25F33(HAWK)|autour
25F33(KITE)|milan
25F33(SPARROW-HAWK)|épervier
25F33(VULTURE)|vautour
25F34|hibou
25F35|oiseau décoratif
25F35(BIRD OF PARADISE)|paradis
25F35(BIRD OF PARADISE)|paradisier
25F35(COCKATOO)|cacatoès
25F35(HORNBILL)|calao
25F35(PARROT)|perroquet
25F35(PEACOCK)|paon
25F36|oiseau aquatique
25F36|plongeon (oiseau)
25F36(COOT)|foulque
25F36(DIPPER)|cincle
25F36(DUCK)|canard
25F36(GOOSE)|oie
25F36(PELICAN)|pélican
25F36(SWAMP-HEN)|coq des marais
25F36(SWAMP-HEN)|gélinotte
25F36(SWAN)|cygne
25F37|oiseau riverain
25F37|échassier
25F37(BITTERN)|butor
25F37(CRANE)|grue
25F37(GULL)|mouette
25F37(HERON)|héron
25F37(IBIS)|ibis
25F37(LAPWING)|vanneau
25F37(MARABOU)|marabout
25F37(PLOVER)|pluvier
25F37(PURPLE WATER-HEN)|poule d'eau pourprée
25F37(SNIPE)|bécassine
25F37(STORK)|cicogne
25F37(TROCHILUS)|trochile
