23I|Personifikation
23I|Ripa, Cesare
23I|mese in generale
23I|zwoelf
23I11|Gennaro
23I11|Januar
23I12|Febraro
23I12|Februar
23I13|Maerz
23I13|Marzo
23I21|April
23I21|Aprile
23I22|Maggio
23I22|Mai
23I23|Giugno
23I23|Juni
23I31|Juli
23I31|Luglio
23I32|Agosto
23I32|August
23I33|September
23I33|Settembre
23I41|Oktober
23I41|Ottobre
23I42|November
23I42|Novembre
23I43|Dezember
23K|Arbeit
23K|Baeume beschneiden
23K|Berufe
23K|Ernte
23K|Falknerei
23K|Heumachen
23K|Holzfaellerei
23K|Landschaft
23K|Monat
23K|Schwein
23K|Taetigkeiten
23K|Weinberg
23K|Weinfass
23K|Weinkelter
23K|Weinpresse
23K|backen
23K|beschneiden (Gewaechse)
23K|dreschen
23K|pfropfen
23K|saeen
23K|sammeln
23K|schlachten
23K|zwoelf
23K11|Januar
23K12|Februar
23K13|Maerz
23K21|April
23K22|Mai
23K23|Juni
23K31|Juli
23K32|August
23K33|September
23K41|Oktober
23K42|November
23K43|Dezember
23L|Landschaft
23L|Monat
23L|zwoelf
23L11|Januar
23L12|Februar
23L13|Maerz
23L21|April
23L22|Mai
23L23|Juni
23L31|Juli
23L32|August
23L33|September
23L41|Oktober
23L42|November
23L43|Dezember
23M|Blume
23M|Frucht
23M|Monat
23M|Stilleben
23M|zwoelf
23M11|Januar
23M12|Februar
23M13|Maerz
23M21|April
23M22|Mai
23M23|Juni
23M31|Juli
23M32|August
23M33|September
23M41|Oktober
23M42|November
23M43|Dezember
23N|Monat
23N|zwoelf
23N11|Januar
23N12|Februar
23N13|Maerz
23N21|April
23N22|Mai
23N23|Juni
23N31|Juli
23N32|August
23N33|September
23N41|Oktober
23N42|November
23N43|Dezember
23O|Tierkreis
23O|Zeichen
23O|zwoelf
23O1|Winter
23O11|Capricorn
23O11|Dezember
23O11|Steinbock (Tierkreiszeichen)
23O12|Aquarius
23O12|Januar
23O12|Wassermann (Tierkreiszeichen)
23O13|Februar
23O13|Fische (Tierkreiszeichen)
23O13|Pisces
23O2|Fruehling
23O21|Aries
23O21|Maerz
23O21|Widder (Tierkreiszeichen)
23O22|April
23O22|Stier (Tierkreiszeichen)
23O22|Taurus
23O23|Gemini
23O23|Mai
23O23|Zwillinge (Tierkreiszeichen)
23O3|Sommer
23O31|Juni
23O31|Krebs (Tierkreiszeichen)
23O32|Juli
23O32|Leo
23O32|Loewe (Tierkreiszeichen)
23O33|August
23O33|Jungfrau (Tierkreiszeichen)
23O33|Virgo
23O4|Herbst
23O41|Libra
23O41|September
23O41|Waage (Tierkreiszeichen)
23O42|Oktober
23O42|Scorpio
23O42|Skorpion (Tierkreiszeichen)
23O43|November
23O43|Sagittarius
23O43|Schuetze (Tierkreiszeichen)
23O5|Astrologie
23P|Woche
23Q|Tag
23Q|sieben
23Q1|Sonntag
23Q2|Montag
23Q3|Dienstag
23Q4|Mittwoch
23Q5|Donnerstag
23Q6|Freitag
23Q7|Samstag
23Q8|morgen
23Q81|übermorgen
23R1|Tag
23R1|natuerlicher Tag
23R1|vierundzwanzig
23R10|Ripa, Cesare
23R10|carro del giorno naturale
23R10|giorno naturale
23R11|Morgen
23R110|Aurora
23R110|Personifikation
23R110|Ripa, Cesare
23R111|Aurora
23R111|Landschaft
23R113|Mittag
23R12|Nachmittag
23R120|Personifikation
23R120|meridies
23R121|Landschaft
23R121|meridies
23R13|Abend
23R130|Personifikation
23R130|Vesper
23R131|Landschaft
23R131|Vesper
23R14|Nacht
23R140|Nox
23R140|Personifikation
23R140|Ripa, Cesare
23R140|carro della notte
23R140|notte
23R140|serenità della notte
23R141|Landschaft
23R141|Nox
23R2|Tag
23R20|Ripa, Cesare
23R20|carro del giorno artificiale
23R20|giorno artificiale
23R20|serenità del giorno
23R3|Stunden
23R3|vierundzwanzig
23R31|zwoelf
23R310|Ripa, Cesare
23R310|Stunde
23R310|hore del giorno
23R32|zwoelf
23R320|Ripa, Cesare
23R320|Stunde
23R320|hore della notte
23S|Reich
23S|Welt
23S1|vier
23S11|Babylon
23S12|Persien
23S13|Griechenland
23S14|Rom
23S2|Bibel
23S21|Daniel
23S21|Nebukadnezzar
23S21|Statue
23S21|Traum
23S21|gross
23S22|Daniel
23S22|Tier
23S22|Vision
23S22|vier
23T|Epoche
23T|Geschichte
23T|Weltzeitalter
23T|Zeitabschnitt
23T1|Bibel
23T1|sieben
23T11|Adam
23T11|Noah
23T12|Abraham
23T12|Moses
23T12|Noah
23T13|Abraham
23T13|David
23T13|Moses
23T14|Babylonische Gefangenschaft
23T14|David
